"Sample_ID","Case_no","Accession","Host","Sample_type","Preferred_date","Date_source","Barangay","Municipality","Province","Region","Latitude","Longitude","Source","Author","Pubmed","Genome_coverage","redcap_repeat_instance","ngs_runid","duplicate_id","ngs_rundate","ngs_location","ngs_provider","ngs_submission","ngs_platform","primer_scheme","primer_scheme_version","nanopore_platform","ngs_flowcell","illumina_platform","ngs_prep","ngs_barcode","ngs_library","ngs_analysis_type","ngs_merged_from","total_reads","mapped_reads","mean_depth","stdev_depth","median_depth","minimum_reads","maximum_reads","genomecov_depthx1","genomecov_depthx5","genomecov_depthx20","genomecov_depthx100","negative_control_sample","genbank_accession","consensus_coverage","consensus_fasta","ngs_notes","sample_labid","sample_sequenceid","sample_batchid","apha_sub","apha_rv","sample_tissuetype","sample_buffer","country","hmpcr_n405","rtassay","rtqpcr","lateral_flow_test","fat","drit","diagnostic_result","test_centre","diag_notes"
"RADDL4B-24-034","M-55",NA,"Dog",NA,2024-02-29,NA,"Bamban","Boac","Marinduque","MIMIROPA",13.42366341,121.8779105,"speedier",NA,NA,0.9713,"1","rabv_4b_2025_run1","1","9-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode79",NA,"Single run",NA,"5820","5411","279.8972511","238.9833635","205","0","1558","11899","11886","11675","10628","No","NA",97.1337579617834,"RADDL4B-24-034__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-035","M-56",NA,"Dog",NA,2024-02-26,NA,"Masiga","Gasan","Marinduque","MIMIROPA",13.35871898,121.8255082,"speedier",NA,NA,0.9889,"1","rabv_4b_2025_run1","1","9-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode80",NA,"Single run",NA,"13067","12125","743.2153872","471.5793323","640","0","2856","11896","11892","11877","11664","No","NA",98.8937311431445,"RADDL4B-24-035__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-037","M-58",NA,"Dog",NA,2024-02-28,NA,"Buangan","Torrijos","Marinduque","MIMIROPA",13.31305087,122.0537056,"speedier",NA,NA,0.9718,"1","rabv_4b_2025_run1","1","9-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode81",NA,"Single run",NA,"7396","7075","307.5042742","371.4089075","184.5","0","2235","11884","11678","11671","9708","No","NA",97.1840429098223,"RADDL4B-24-037__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-053","M-65",NA,"Dog",NA,2024-03-17,NA,"Barangay 1","Buenavista","Marinduque","MIMIROPA",13.2559971,121.9418071,"speedier",NA,NA,0.9718,"1","rabv_4b_2025_run1","1","9-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode82",NA,"Single run",NA,"7552","7182","340.1950218","395.2907831","232","0","2432","11893","11885","11671","9478","No","NA",97.1840429098223,"RADDL4B-24-053__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-055","M-67",NA,"Dog",NA,2024-03-21,NA,"Barangay 2","Buenavista","Marinduque","MIMIROPA",13.25463205,121.9448458,"speedier",NA,NA,0.9888,"1","rabv_4b_2025_run1","1","9-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode83",NA,"Single run",NA,"20407","19390","844.2644988","709.3001817","618","0","4156","11893","11893","11886","11504","No","NA",98.8769694937982,"RADDL4B-24-055__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-056","M-68",NA,"Dog",NA,2024-03-26,NA,"Barangay 1","Buenavista","Marinduque","MIMIROPA",13.2559971,121.9418071,"speedier",NA,NA,0.9892,"1","rabv_4b_2025_run1","1","9-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode84",NA,"Single run",NA,"8592","8110","332.5940329","348.6540005","188","0","1969","11895","11893","11879","9776","No","NA",98.9188736171639,"RADDL4B-24-056__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-057","M-69",NA,"Dog",NA,2024-01-20,NA,"Barangay 1","Buenavista","Marinduque","MIMIROPA",13.2559971,121.9418071,"speedier",NA,NA,0.9884,"1","rabv_4b_2025_run1","1","9-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode85",NA,"Single run",NA,"11101","10447","578.8861046","516.1939339","460","0","3417","11895","11893","11886","11505","No","NA",98.8350653704324,"RADDL4B-24-057__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-058","M-70",NA,"Dog",NA,2024-03-20,NA,"Mendez","Mogpog","Marinduque","MIMIROPA",13.5108188,121.8994064,"speedier",NA,NA,0.9717,"1","rabv_4b_2025_run1","1","9-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode86",NA,"Single run",NA,"7094","6767","459.9694938","290.5523318","415","0","1630","11896","11893","11683","11451","No","NA",97.167281260476,"RADDL4B-24-058__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-059","M-71",NA,"Dog",NA,2024-03-20,NA,"Villa Mendez","Mogpog","Marinduque","MIMIROPA",13.47788656,121.8607316,"speedier",NA,NA,0.9888,"1","rabv_4b_2025_run1","1","9-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode87",NA,"Single run",NA,"12842","12080","535.1782601","535.7620785","323","0","3157","11893","11893","11884","10952","No","NA",98.8769694937982,"RADDL4B-24-059__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-067","M-75",NA,"Dog",NA,2024-02-20,NA,"Cabugao","Gasan","Marinduque","MIMIROPA",13.35486893,121.8479733,"speedier",NA,NA,0.9892,"1","rabv_4b_2025_run1","1","9-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode88",NA,"Single run",NA,"16986","16031","619.2675159","561.7588386","364","0","2882","11902","11894","11886","11490","No","NA",98.9188736171639,"RADDL4B-24-067__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
