"Sample_ID","Case_no","Accession","Host","Sample_type","Preferred_date","Date_source","Barangay","Municipality","Province","Region","Latitude","Longitude","Source","Author","Pubmed","Genome_coverage","redcap_repeat_instance","ngs_runid","duplicate_id","ngs_rundate","ngs_location","ngs_provider","ngs_submission","ngs_platform","primer_scheme","primer_scheme_version","nanopore_platform","ngs_flowcell","illumina_platform","ngs_prep","ngs_barcode","ngs_library","ngs_analysis_type","ngs_merged_from","total_reads","mapped_reads","mean_depth","stdev_depth","median_depth","minimum_reads","maximum_reads","genomecov_depthx1","genomecov_depthx5","genomecov_depthx20","genomecov_depthx100","negative_control_sample","genbank_accession","consensus_coverage","consensus_fasta","ngs_notes","sample_labid","sample_sequenceid","sample_batchid","apha_sub","apha_rv","sample_tissuetype","sample_buffer","country","hmpcr_n405","rtassay","rtqpcr","lateral_flow_test","fat","drit","diagnostic_result","test_centre","diag_notes"
"RADDL4B-23-099","M-25",NA,"Dog",NA,2023-11-30,NA,"Bunganay","Boac","Marinduque","MIMIROPA",13.38814351,121.830912,"speedier",NA,NA,0.9889,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode48",NA,"Single run",NA,"11268","10222","399.4539893","389.849873","243","0","2365","11896","11887","11881","10850","No","NA",98.8937311431445,"RADDL4B-23-099__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-23-100","M-26",NA,"Pig",NA,2023-12-05,NA,"Tabigue","Boac","Marinduque","MIMIROPA",13.4508379,121.820882,"speedier",NA,NA,0.9889,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode49",NA,"Single run",NA,"10488","9650","381.6632585","383.6787633","201","0","2221","11895","11887","11883","11124","No","NA",98.8937311431445,"RADDL4B-23-100__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-001","M-29",NA,"Dog",NA,2024-01-05,NA,"Dampulan","Torrijos","Marinduque","MIMIROPA",13.23584673,122.0313094,"speedier",NA,NA,0.9891,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode50",NA,"Single run",NA,"5838","5283","218.128478","214.0552185","122","0","1304","11888","11887","11859","7410","No","NA",98.9104927924908,"RADDL4B-24-001__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-011","M-38",NA,"Dog",NA,2024-01-24,NA,"Laylay","Boac","Marinduque","MIMIROPA",13.43668126,121.8203817,"speedier",NA,NA,0.9889,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode52",NA,"Single run",NA,"6831","6412","259.9507208","299.5691591","128","0","1764","11895","11893","11873","7511","No","NA",98.8937311431445,"RADDL4B-24-011__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-012","M-40",NA,"Dog",NA,2024-01-25,NA,"Poblacion","Torrijos","Marinduque","MIMIROPA",13.32381038,122.0762274,"speedier",NA,NA,0.9713,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode53",NA,"Single run",NA,"7871","7373","293.6583138","309.5487971","162","0","1910","11894","11887","11877","8899","No","NA",97.1337579617834,"RADDL4B-24-012__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-015","M-41",NA,"Dog",NA,2024-01-31,NA,"Tampus","Boac","Marinduque","MIMIROPA",13.44607203,121.8483871,"speedier",NA,NA,0.95,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode54",NA,"Single run",NA,"3674","3363","134.6438988","127.4222112","75","0","663","11893","11886","11714","4944","No","NA",94.9966476701307,"RADDL4B-24-015__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-016","M-42",NA,"Dog",NA,2024-01-31,NA,"San Isidro","Santa Cruz","Marinduque","MIMIROPA",13.52187638,121.937044,"speedier",NA,NA,0.9679,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode55",NA,"Single run",NA,"4967","4535","202.9704157","166.9656065","134","0","896","11891","11886","11785","7626","No","NA",96.7901441501844,"RADDL4B-24-016__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-049","M-63",NA,"Dog",NA,2024-03-13,NA,"Barangay IV","Buenavista","Marinduque","MIMIROPA",13.25222414,121.9482043,"speedier",NA,NA,0.9885,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode56",NA,"Single run",NA,"5468","4909","236.7808414","192.3104003","160","0","1180","11895","11886","11878","9343","No","NA",98.8518270197788,"RADDL4B-24-049__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-084","M-91",NA,"Dog",NA,2024-04-19,NA,"Matandang Gasan","Gasan","Marinduque","MIMIROPA",13.32695219,121.8773683,"speedier",NA,NA,0.9888,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode58",NA,"Single run",NA,"7722","7135","340.9870935","287.7485675","224","0","1731","11891","11887","11884","11161","No","NA",98.8769694937982,"RADDL4B-24-084__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-085","M-92",NA,"Dog",NA,2024-04-20,NA,"Malibago","Torrijos","Marinduque","MIMIROPA",13.28714633,122.0077236,"speedier",NA,NA,0.9883,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode59",NA,"Single run",NA,"12074","11313","559.8043916","437.1725286","370","0","2495","11897","11893","11888","11501","No","NA",98.8266845457593,"RADDL4B-24-085__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-086","M-93",NA,"Dog",NA,2024-04-20,NA,"Pulong-Parang","Santa Cruz","Marinduque","MIMIROPA",13.41549537,122.0584289,"speedier",NA,NA,0.9345,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode60",NA,"Single run",NA,"2630","2416","108.3374958","104.4295526","72","0","639","11888","11882","11493","4484","No","NA",93.4461951055984,"RADDL4B-24-086__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-087","M-94",NA,"Dog",NA,2024-04-21,NA,"Marlangga","Torrijos","Marinduque","MIMIROPA",13.33186615,122.0865576,"speedier",NA,NA,0.9712,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode61",NA,"Single run",NA,"4379","4079","174.506118","159.4600842","106","0","956","11893","11887","11716","6072","No","NA",97.1169963124371,"RADDL4B-24-087__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-088","M-95",NA,"Dog",NA,2024-04-22,NA,"Mangiliol","Gasan","Marinduque","MIMIROPA",13.35766762,121.8384787,"speedier",NA,NA,0.9155,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode62",NA,"Single run",NA,"2624","2408","108.1330037","90.60465078","70","0","587","11887","11884","11584","4538","No","NA",91.552128729467,"RADDL4B-24-088__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-101","M-99",NA,"Dog",NA,2024-04-25,NA,"Poras","Boac","Marinduque","MIMIROPA",13.45804967,121.8323598,"speedier",NA,NA,0.9888,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode63",NA,"Single run",NA,"12927","11943","497.6574757","419.1271479","353","0","2411","11896","11892","11886","11544","No","NA",98.8769694937982,"RADDL4B-24-101__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-106","M-104",NA,"Dog",NA,2024-03-20,NA,"Daykitin","Buenavista","Marinduque","MIMIROPA",13.27382681,121.9228134,"speedier",NA,NA,0.9885,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode64",NA,"Single run",NA,"5661","5214","225.7340764","228.7723372","121","0","1375","11893","11887","11877","6831","No","NA",98.8518270197788,"RADDL4B-24-106__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-120","M-106",NA,"Dog",NA,2024-09-20,NA,"Mainit","Boac","Marinduque","MIMIROPA",13.40855837,121.8831096,"speedier",NA,NA,0.9886,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode65",NA,"Single run",NA,"16153","14856","770.6703822","572.1576621","532","0","3301","11896","11893","11885","11673","No","NA",98.8602078444519,"RADDL4B-24-120__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-124","M-110",NA,"Dog",NA,2024-05-13,NA,"Yook","Buenavista","Marinduque","MIMIROPA",13.22428692,121.9851771,"speedier",NA,NA,0.9889,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode66",NA,"Single run",NA,"9975","8901","579.6425578","373.2797657","400","0","1674","11895","11888","11885","11650","No","NA",98.8937311431445,"RADDL4B-24-124__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-23-042","R-56",NA,"Dog",NA,2023-07-07,NA,"Matutuna","San Andres","Romblon","MIMIROPA",12.485430189542,122.037858315898,"speedier",NA,NA,0.9884,"1","RabV_4B_2025_R10_run1","1","11-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAZ05819",NA,"Amplicon","barcode01",NA,"Single run",NA,"47022","43426","1602.878813","1460.414938","1201","0","8015","11890","11888","11886","11869","No","NA",98.8350653704324,"RADDL4B-23-042__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-23-045","R-58",NA,"Dog",NA,2023-08-03,NA,"Linawan","San Andres","Romblon","MIMIROPA",12.5613811526055,122.024643646665,"speedier",NA,NA,0.9884,"1","RabV_4B_2025_R10_run1","1","11-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAZ05819",NA,"Amplicon","barcode03",NA,"Single run",NA,"15902","13511","623.8164599","510.4828298","504","0","2333","11890","11889","11885","11461","No","NA",98.8350653704324,"RADDL4B-23-045__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-23-046","R-59",NA,"Dog",NA,2023-07-04,NA,"Carmen","San Agustin","Romblon","MIMIROPA",12.6207441732869,122.112268131429,"speedier",NA,NA,0.9884,"1","RabV_4B_2025_R10_run1","1","11-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAZ05819",NA,"Amplicon","barcode04",NA,"Single run",NA,"29480","27695","1013.972259","1059.870506","495.5","0","5065","11910","11889","11883","11158","No","NA",98.8434461951056,"RADDL4B-23-046__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-23-052","R-61",NA,"Dog",NA,2023-08-29,NA,"Mat-I","Santa Fe","Romblon","MIMIROPA",12.1825790019622,121.982068760844,"speedier",NA,NA,0.9887,"1","RabV_4B_2025_R10_run1","1","11-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAZ05819",NA,"Amplicon","barcode07",NA,"Single run",NA,"35408","33197","1195.444351","1207.713891","805","0","5426","11893","11887","11884","11344","No","NA",98.868588669125,"RADDL4B-23-052__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-23-056","R-63",NA,"Dog",NA,2023-09-11,NA,"Concepcion Norte","Santa Maria","Romblon","MIMIROPA",12.4009725318673,122.089783542696,"speedier",NA,NA,0.9882,"1","RabV_4B_2025_R10_run1","1","11-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAZ05819",NA,"Amplicon","barcode09",NA,"Single run",NA,"43074","39864","1437.584395","1519.120343","914","0","8527","11896","11887","11887","11471","No","NA",98.8183037210862,"RADDL4B-23-056__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-23-076","R-66",NA,"Dog",NA,2023-10-17,NA,"Poblacion","Alcantara","Romblon","MIMIROPA",12.2598547361178,122.053286260471,"speedier",NA,NA,0.972,"1","RabV_4B_2025_R10_run1","1","11-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAZ05819",NA,"Amplicon","barcode11",NA,"Single run",NA,"40112","37924","1334.443513","1478.364524","860","0","8399","11760","11683","11676","10994","No","NA",97.2008045591686,"RADDL4B-23-076__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-23-080","R-67",NA,"Dog",NA,2023-10-26,NA,"Pangulo","Calatrava","Romblon","MIMIROPA",12.6133966287614,122.093403546437,"speedier",NA,NA,0.9874,"1","RabV_4B_2025_R10_run1","1","11-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAZ05819",NA,"Amplicon","barcode12",NA,"Single run",NA,"26558","24561","1191.71832","957.9564676","1045","0","4011","11890","11887","11883","11650","No","NA",98.7428762990278,"RADDL4B-23-080__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-23-081","R-65",NA,"Dog",NA,2023-09-30,NA,"Bachawan","San Agustin","Romblon","MIMIROPA",12.4577618696032,122.090565303083,"speedier",NA,NA,0.9711,"1","RabV_4B_2025_R10_run1","1","11-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAZ05819",NA,"Amplicon","barcode13",NA,"Single run",NA,"29045","27043","1115.028495","1062.917914","882","0","5632","11888","11693","11675","11263","No","NA",97.108615487764,"RADDL4B-23-081__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-23-101","M-27",NA,"Dog",NA,2023-12-05,NA,"Hinapulan","Boac","Marinduque","MIMIROPA",13.40056028,121.9413747,"speedier",NA,NA,0.9886,"1","RabV_4B_2025_R10_run1","1","11-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAZ05819",NA,"Amplicon","barcode15",NA,"Single run",NA,"11938","10928","455.4171136","533.7269475","295","0","2953","11890","11888","11882","10467","No","NA",98.8602078444519,"RADDL4B-23-101__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-23-104","R-70",NA,"Dog",NA,2023-12-12,NA,"Poblacion","Alcantara","Romblon","MIMIROPA",12.2598547361178,122.053286260471,"speedier",NA,NA,0.9885,"1","RabV_4B_2025_R10_run1","1","11-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAZ05819",NA,"Amplicon","barcode17",NA,"Single run",NA,"20008","18334","705.1980389","804.3337124","468","0","5045","11891","11887","11882","10963","No","NA",98.8518270197788,"RADDL4B-23-104__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-23-105","R-69",NA,"Dog",NA,2023-11-13,NA,"Poblacion","Looc","Romblon","MIMIROPA",12.2710913046505,122.007370649571,"speedier",NA,NA,0.9878,"1","RabV_4B_2025_R10_run1","1","11-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAZ05819",NA,"Amplicon","barcode18",NA,"Single run",NA,"10718","9568","419.9389038","422.1840129","332","0","2760","11888","11887","11881","9770","No","NA",98.7763995977204,"RADDL4B-23-105__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-002","M-30",NA,"Dog",NA,2024-01-09,NA,"Malusak","Boac","Marinduque","MIMIROPA",13.44708203,121.8412843,"speedier",NA,NA,0.9883,"1","RabV_4B_2025_R10_run1","1","11-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAZ05819",NA,"Amplicon","barcode19",NA,"Single run",NA,"10164","9090","349.222008","372.7975563","208","0","2143","11888","11886","11881","9368","No","NA",98.8266845457593,"RADDL4B-24-002__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-003","M-31",NA,"Dog",NA,2024-01-09,NA,"Masiga","Gasan","Marinduque","MIMIROPA",13.35871898,121.8255082,"speedier",NA,NA,0.9884,"1","RabV_4B_2025_R10_run1","1","11-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAZ05819",NA,"Amplicon","barcode20",NA,"Single run",NA,"17227","16004","762.1504358","717.0810223","498","0","3736","11895","11887","11883","11430","No","NA",98.8434461951056,"RADDL4B-24-003__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-017","M-39",NA,"Dog",NA,2024-01-25,NA,"Masiga","Gasan","Marinduque","MIMIROPA",13.35871898,121.8255082,"speedier",NA,NA,0.9883,"1","RabV_4B_2025_R10_run2","1","18-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAY28415",NA,"Amplicon","barcode01",NA,"Single run",NA,"88403","75482","3335.468404","2843.003807","2406","0","12517","11894","11888","11887","11882","No","NA",98.8266845457593,"RADDL4B-24-017__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-028","M-51",NA,"Dog",NA,2024-02-14,NA,"Masiga","Gasan","Marinduque","MIMIROPA",13.35871898,121.8255082,"speedier",NA,NA,0.9884,"1","RabV_4B_2025_R10_run2","1","18-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAY28415",NA,"Amplicon","barcode04",NA,"Single run",NA,"14850","12757","643.7653369","486.2712139","455","0","2276","11888","11887","11882","11695","No","NA",98.8350653704324,"RADDL4B-24-028__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-038","M-59",NA,"Dog",NA,2024-03-05,NA,"Barangay I","Buenavista","Marinduque","MIMIROPA",13.2559971,121.9418071,"speedier",NA,NA,0.988,"1","RabV_4B_2025_R10_run2","1","18-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAY28415",NA,"Amplicon","barcode05",NA,"Single run",NA,"32240","27315","1490.731897","1057.1811","1171.5","0","5420","11894","11889","11887","11882","No","NA",98.8015420717399,"RADDL4B-24-038__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-042","R-63",NA,"Dog",NA,2024-02-12,NA,"Mahabang Baybay","San Agustin","Romblon","MIMIROPA",12.6389756037373,122.150335754756,"speedier",NA,NA,0.9884,"1","RabV_4B_2025_R10_run2","1","18-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAY28415",NA,"Amplicon","barcode06",NA,"Single run",NA,"69392","60254","3199.346379","2128.307681","2269","0","10327","11902","11896","11888","11883","No","NA",98.8350653704324,"RADDL4B-24-042__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-043","R-56",NA,"Dog",NA,2024-03-04,NA,"Camili","Alcantara","Romblon","MIMIROPA",12.2601674937412,122.042413009168,"speedier",NA,NA,0.9878,"1","RabV_4B_2025_R10_run2","1","18-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAY28415",NA,"Amplicon","barcode07",NA,"Single run",NA,"7541","6324","328.3547603","231.3260461","276","0","1218","11894","11887","11875","10095","No","NA",98.7763995977204,"RADDL4B-24-043__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-054","M-66",NA,"Dog",NA,2024-03-20,NA,"Caigangan","Buenavista","Marinduque","MIMIROPA",13.26212226,121.9342731,"speedier",NA,NA,0.9884,"1","RabV_4B_2025_R10_run2","1","18-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAY28415",NA,"Amplicon","barcode10",NA,"Single run",NA,"78187","71025","2847.201559","2828.508152","1741","0","13284","11895","11888","11887","11882","No","NA",98.8434461951056,"RADDL4B-24-054__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-063","R-77",NA,"Dog",NA,2024-04-13,NA,"Tulay","Odiongan","Romblon","MIMIROPA",12.3900864414564,121.992303480972,"speedier",NA,NA,0.9881,"1","RabV_4B_2025_R10_run2","1","18-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAY28415",NA,"Amplicon","barcode12",NA,"Single run",NA,"29217","26982","1291.908062","1037.820926","1113","0","4759","11892","11888","11885","11852","No","NA",98.809922896413,"RADDL4B-24-063__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-066","R-75",NA,"Dog",NA,2024-10-20,NA,"Tugdan","Alcantara","Romblon","MIMIROPA",12.3272698719486,122.070177099507,"speedier",NA,NA,0.9879,"1","RabV_4B_2025_R10_run2","1","18-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAY28415",NA,"Amplicon","barcode13",NA,"Single run",NA,"61357","57972","3192.982652","2249.815204","2744","0","10217","11895","11893","11887","11881","No","NA",98.7931612470667,"RADDL4B-24-066__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-069","M-77",NA,"Dog",NA,2024-03-20,NA,"Barangay I","Buenavista","Marinduque","MIMIROPA",13.2559971,121.9418071,"speedier",NA,NA,0.9885,"1","RabV_4B_2025_R10_run2","1","18-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAY28415",NA,"Amplicon","barcode14",NA,"Single run",NA,"67219","62340","3075.976115","2384.809437","2323.5","0","11569","11899","11889","11887","11882","No","NA",98.8518270197788,"RADDL4B-24-069__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
