name,date
RADDL4B-24-184,2024.88251
RADDL4B-24-185,2024.88525
RADDL4B-24-186,2024.96721
RADDL4B-24-187,2024.88525
RADDL4B-24-188,2024.90984
RADDL4B-25-005,2024.95902
RADDL4B-25-006,2024.96721
RADDL4B-25-008,2025.00822
RADDL4B-25-009,2025.02192
RADDL4B-25-017,2025.17808
RADDL4B-25-022,2025.96712
RADDL4B-25-032,2025.4274
RADDL4B-25-039,2025.55068
RADDL5-005,2015.07945
REGION_5_2018-100,2018.23288
REGION_5_2018-304,2018.8137
REGION_5_2018-311,2018.86575
REGION_5_2018-50,2018.96712
REGION_5_2019-1,2019.2137
REGION_5_2019-13,2019.04384
Z-05-102,2005.13973
Z-05-191,2005.27123
Z-05-557,2005.92055
Z-05-96,2005.12877
Z-06-150,2006.30959
Z-06-295,2006.55342
Z-06-39,2006.06849
Z-07-07,2007.01918
Z-07-351,2007.8137
Z-07-366,2007.86301
Z-07-38,2007.33151
Z-07-387,2007.93151
Z-07-398,2007.96438
Z-07-403,2007.9726
Z-07-407,2007.98356
Z-08-351,2008.94536
Z-08-359,2008.98087
Z-09-94,2009.26575
Z-12-001,2012.05191
Z-12-012,2012.04098
Z-12-029,2012.09016
Z-12-060,2012.15027
Z-12-088,2012.24044
Z-12-118,2012.41257
Z-12-134,2012.46175
Z-12-149,2012.48907
Z-12-208,2012.75137
Z-12-212,2012.30055
Z-13-002,2013.13699
Z-13-009,2013.04932
Z-13-020,2013.08767
Z-13-032,2013.12055
Z-13-036,2013.15068
Z-13-065,2013.25479
Z-13-066,2013.25753
Z-13-071,2013.27123
Z-13-073,2013.27671
Z-13-081,2013.31233
Z-13-086,2013.33425
Z-13-089,2013.33699
Z-13-094,2013.35342
Z-13-096,2013.3589
Z-13-098,2013.36164
Z-13-134,2013.43836
Z-13-135,2013.44384
Z-13-161,2013.54795
Z-13-171,2013.59178
Z-13-184,2013.65753
Z-13-204,2013.73425
Z-13-216,2013.8137
Z-13-234,2013.87123
Z-13-259,2013.96164
Z-14-023,2014.08219
Z-14-033,2014.10137
Z-14-05,2014.01096
Z-14-058,2014.19726
Z-14-098,2014.32329
Z-14-101,2014.33699
Z-14-106,2014.34795
Z-14-126,2014.41096
Z-14-136,2014.4411
Z-14-138,2014.45479
Z-14-142,2014.46849
Z-14-146,2014.48219
Z-14-149,2014.48767
Z-14-152,2014.13699
Z-14-182,2014.63288
Z-14-243,2014.86575
Z-15-001,2015
Z-15-009,2015.0411
Z-15-019,2015.07397
Z-15-116,2015.45753
Z-15-130,2015.46575
Z-15-148,2015.29863
Z-15-163,2015.67671
Z-15-185,2015.79452
Z-16-013,2016.04098
Z-16-082,2016.39344
Z-16-150,2016.6776
Z-16-151,2016.6776
Z-16-159,2016.96721
Z-16-186,2016.21585
Z-16-196,2016.89344
Z-16-209,2016.95082
Z-16-210,2016.95628
Z-16-211,2016.96448
Z-17-046,2017.17534
Z-17-174,2017.72603
Z-17-177,2017.73151
Z-17-193,2017.78082
Z-17-200,2017.83014
Z-17-217,2017.87397
Z-17-221,2017.90685
Z-17-57,2017.23836
Z-18-001,2018.00274
Z-18-114,2018.40274
Z-18-159,2018.54521
Z-18-224,2018.82192
Z-18-251,2018.93151
Z-19-029,2019.15342
Z-19-123,2019.60822
Z-19-136,2019.67671
Z-19-88,2019.41096
Z-20-01,2020.00546
Z-20-110,2020.80874
Z-20-24,2020.12022
Z-20-33,2020.13115
Z-20-51,2020.16667
Z-22-103,2022.88767
Z-22-119,2022.98904
Z-22-121,2022.96438
Z-23-01,2023.00548
Z-23-01Sa,2023.00548
Z-24-141,2024.72951
Z-24-142,2024.72951
Z-98-1061,1998.59178
Z-98-285,1998.20822
Z-98-286,1998.21096
Z-98-433,1998.32603
Z-98-454,1998.33699
Z-98-515,1998.38082
Z-98-616,1998.46027
Z-98-718,1998.52877
Z-98-780,1998.56164
Z-98-838,1998.60274
Z-98-860,1998.61644
