seq_name	Preferred_date	Region_std
OQ326751	1-Jan-18	R11
OQ326750	1-Jan-18	R11
OQ326749	1-Jan-18	R11
OQ326748	1-Jan-18	R11
OQ326747	1-Jan-18	R11
OQ326746	1-Jan-18	R11
OQ326745	1-Jan-18	R11
OQ326744	1-Jan-18	R11
OQ326743	1-Jan-18	R11
OQ326742	1-Jan-18	R11
OQ326741	1-Jan-19	R11
OQ326740	1-Jan-19	R11
OQ326739	1-Jan-19	R11
OQ326738	1-Jan-18	R11
OQ326737	1-Jan-18	R11
OQ326736	1-Jan-18	R11
OR971444	11-Jan-22	R3
OR971443	10-Jan-22	R3
OR971442	7-Jan-22	R3
OR971441	18-Jan-22	R3
OR971440	4-Jan-22	R3
OR971439	3-Jan-22	R3
OR971438	25-Oct-21	R3
OR971437	22-Dec-21	R3
OR971436	9-Dec-21	R3
OR971435	27-Oct-21	R3
OR971434	13-Oct-21	R3
OR971433	13-Oct-21	R3
OR971432	8-Oct-21	R3
OR971431	7-Oct-21	R3
OR971430	5-Oct-21	R3
OR971429	4-Oct-21	R3
OR971428	24-Sep-21	R3
OR971427	10-Sep-21	R3
OR971426	9-Sep-21	R3
OR971425	9-Sep-21	R3
OR971424	3-Sep-21	R3
OR971423	31-Aug-21	R3
OR971422	31-Aug-21	R3
OR971421	31-Aug-21	R3
OR971420	24-May-21	R3
OR971419	5-May-21	R3
OR971418	26-Apr-21	R3
OR971417	16-Apr-21	R3
OR971416	16-Apr-21	R3
OR971415	13-Apr-21	R3
OR971414	7-Apr-21	R3
OR971413	5-Apr-21	R3
OR971412	19-Mar-21	R3
OR971411	13-Sep-19	R3
OR971409	20-Aug-19	R3
OR971408	2-Aug-19	R3
OR971407	30-Dec-21	R2
OR971406	27-Dec-21	R2
OR971405	20-Dec-21	R2
OR971404	11-May-21	R2
OR971403	17-Aug-21	R2
OR971402	13-Aug-21	R2
OR971401	8-Oct-21	R2
OR971400	8-Sep-21	R2
OR971399	10-Oct-19	R2
OR971398	8-Oct-19	R2
OR971397	7-Oct-19	R2
OR971396	4-Oct-19	R2
OR971395	20-Sep-19	R2
OQ326784	1-Jan-18	R11
OQ326783	1-Jan-18	R11
OQ326782	1-Jan-18	R11
OQ326781	1-Jan-18	R11
OQ326780	1-Jan-18	R11
OQ326779	1-Jan-18	R11
OQ326778	1-Jan-18	R11
OQ326777	1-Jan-18	R11
OQ326776	1-Jan-18	R11
OQ326775	1-Jan-18	R12
OQ326774	1-Jan-18	R11
OQ326773	1-Jan-18	R11
OQ326772	1-Jan-18	R11
OQ326771	1-Jan-18	R11
OQ326770	1-Jan-19	R11
OQ326769	1-Jan-18	R11
OQ326768	1-Jan-18	R11
OQ326767	1-Jan-18	R11
OQ326766	1-Jan-18	R11
OQ326765	1-Jan-19	R11
OQ326764	1-Jan-18	R11
OQ326763	1-Jan-19	R11
OQ326762	1-Jan-18	R11
OQ326761	1-Jan-18	R11
OQ326760	1-Jan-18	R11
OQ326759	1-Jan-18	R11
OQ326758	1-Jan-18	R11
OQ326757	1-Jan-18	R11
OQ326756	1-Jan-18	R11
OQ326755	1-Jan-18	R11
OR971544	12-Oct-21	R6
OR971543	7-Oct-21	R6
OR971542	6-Oct-21	R6
OR971541	6-Oct-21	R6
OR971540	5-Oct-21	R6
OR971539	10-Oct-19	R6
OR971538	17-Sep-19	R6
OR971537	29-Aug-19	R6
OR971536	17-Jun-19	R6
OR971535	11-Jun-19	R6
OR971534	15-Apr-19	R6
OR971533	10-May-21	R5
OR971532	6-May-21	R5
OR971531	5-May-21	R5
OR971530	3-May-21	R5
OR971529	3-May-21	R5
OR971528	26-Apr-21	R5
OR971527	27-Apr-21	R5
OR971526	26-Apr-21	R5
OR971525	19-Apr-21	R5
OR971524	19-Apr-21	R5
OR971523	12-Apr-21	R5
OR971522	2-Apr-21	R5
OR971521	22-Mar-21	R5
OR971520	22-Mar-21	R5
OR971519	22-Mar-21	R5
OR971518	22-Mar-21	R5
OR971517	5-Mar-21	R5
OR971516	5-Mar-21	R5
OR971515	1-Feb-21	R5
OR971514	1-Feb-21	R5
OR971513	1-Feb-21	R5
OR971512	1-Feb-21	R5
OR971511	20-Jan-21	R5
OR971510	19-Jan-21	R5
OR971509	11-Jan-21	R5
OR971508	5-Jan-21	R5
OR971507	5-Jan-21	R5
OR971506	7-Mar-19	R5
OR971505	7-Dec-18	R5
OR971504	14-Sep-18	R5
OR971503	10-Aug-18	R5
OR971502	2-May-18	R5
OR971501	27-Feb-18	R5
OR971500	27-Feb-18	R5
OR971499	20-Feb-18	R5
OR971498	8-Feb-18	R5
OR971497	1-Jan-22	R17
OR971496	3-Mar-22	R17
OR971495	17-Feb-22	R17
OR971344	2-Jan-22	R14
OR971343	14-Jan-22	R14
OR971342	1-Jun-22	R14
OR971341	1-Apr-22	R14
OR971340	15-Nov-21	R14
OR971339	11-Mar-21	R14
OR971338	25-Jun-21	R14
OR971337	18-Jun-21	R14
OR971336	6-Aug-21	R14
OR971335	14-May-21	R14
OR971334	10-May-21	R14
OR971333	3-May-21	R14
OR971332	11-Mar-21	R14
OR971331	28-Feb-21	R14
OR971330	24-Feb-21	R14
OR971329	28-Oct-19	R14
OR971328	14-Oct-19	R14
OR971327	23-Sep-19	R14
OR971326	26-Sep-19	R14
OR971325	16-Sep-19	R14
OR971324	4-Sep-19	R14
OR971323	26-Aug-19	R14
OR971644	24-Jun-19	R12
