#node	date	numeric date
Z-16-209	2016-12-14	2016.952186
NODE_0000311	2011-05-29	2011.406955
Z-13-184	2013-08-29	2013.658904
Z-13-171	2013-08-05	2013.593151
NODE_0000312	2008-01-25	2008.067502
NODE_0000313	2010-08-24	2010.644898
Z-12-212	2012-04-20	2012.301913
Z-14-146	2014-06-26	2014.483562
NODE_0000314	2012-05-01	2012.330609
OR971448	2019-08-01	2019.582192
Z-19-029	2019-02-26	2019.154795
NODE_0000286	1954-12-19	1954.964954
NODE_0000377	1961-11-21	1961.888812
OR971592	2019-10-09	2019.771233
NODE_0000378	1982-04-25	1982.313916
NODE_0000379	1988-03-26	1988.233512
NODE_0000380	2008-12-02	2008.920052
NODE_0000381	2015-09-15	2015.705793
OQ326778	2018-01-01	2018.001370
OQ326774	2018-01-01	2018.001370
NODE_0000382	2015-12-12	2015.945561
OR971632	2022-02-15	2022.124658
OR971675	2021-10-20	2021.801370
NODE_0000385	2016-06-04	2016.426189
OQ326748	2018-01-01	2018.001370
NODE_0000386	2017-06-18	2017.462543
OQ326770	2019-01-01	2019.001370
R11-22-001	2022-01-01	2022.001370
NODE_0000110	2018-01-01	2018.001370
OQ326764	2018-01-01	2018.001370
NODE_0000387	2020-11-21	2020.890067
OR971637	2022-04-01	2022.247945
OR971638	2022-04-25	2022.313699
NODE_0000390	2014-10-19	2014.798145
NODE_0000391	2015-03-01	2015.163912
NODE_0000392	2016-12-20	2016.969418
OQ326754	2018-01-01	2018.001370
NODE_0000393	2017-02-26	2017.155194
OQ326771	2018-01-01	2018.001370
OQ326767	2018-01-01	2018.001370
NODE_0000394	2016-12-15	2016.954311
OQ326780	2018-01-01	2018.001370
NODE_0000395	2017-03-23	2017.222512
OQ326753	2018-01-01	2018.001370
NODE_0000396	2018-07-01	2018.496679
OQ326740	2019-01-01	2019.001370
OQ326763	2019-01-01	2019.001370
NODE_0000397	2015-09-12	2015.696632
NODE_0000398	2016-07-30	2016.579176
OQ326757	2018-01-01	2018.001370
OR971629	2021-12-07	2021.932877
NODE_0000399	2016-06-17	2016.460148
NODE_0000400	2017-04-25	2017.314743
OQ326752	2018-01-01	2018.001370
NODE_0000401	2017-06-28	2017.488438
OQ326736	2018-01-01	2018.001370
OQ326766	2018-01-01	2018.001370
NODE_0000402	2017-02-24	2017.150630
OQ326769	2018-01-01	2018.001370
NODE_0000403	2017-04-27	2017.318244
OQ326776	2018-01-01	2018.001370
NODE_0000405	2017-07-17	2017.541711
OQ326742	2018-01-01	2018.001370
OQ326759	2018-01-01	2018.001370
NODE_0000406	2017-08-15	2017.619255
OQ326772	2018-01-01	2018.001370
NODE_0000407	2018-02-04	2018.095600
OR971633	2022-02-15	2022.124658
OR971626	2021-01-06	2021.015068
NODE_0000408	2008-04-12	2008.280311
NODE_0000409	2014-06-02	2014.418508
NODE_0000413	2021-05-20	2021.382348
OR971628	2021-10-14	2021.784932
R11-21-61	2021-08-11	2021.609589
NODE_0000410	2015-07-16	2015.537344
OQ326784	2018-01-01	2018.001370
NODE_0000411	2017-04-29	2017.323446
OQ326749	2018-01-01	2018.001370
OR971639	2022-05-02	2022.332877
NODE_0000414	2016-04-22	2016.307177
OQ326768	2018-01-01	2018.001370
NODE_0000415	2016-07-08	2016.516492
NODE_0000416	2016-10-23	2016.809225
OQ326762	2018-01-01	2018.001370
OQ326756	2018-01-01	2018.001370
NODE_0000417	2017-01-06	2017.015274
OQ326773	2018-01-01	2018.001370
NODE_0000145	2017-04-03	2017.253434
OQ326779	2018-01-01	2018.001370
OQ326746	2018-01-01	2018.001370
NODE_0000419	2010-05-17	2010.372801
NODE_0000420	2011-12-02	2011.920223
OQ326765	2019-01-01	2019.001370
NODE_0000421	2013-10-20	2013.801027
OQ326745	2018-01-01	2018.001370
NODE_0000422	2015-11-27	2015.906151
NODE_0000159	2017-01-06	2017.015778
OQ326782	2018-01-01	2018.001370
NODE_0000160	2017-07-03	2017.502340
OQ326781	2018-01-01	2018.001370
OQ326743	2018-01-01	2018.001370
NODE_0000425	2016-03-25	2016.229525
OQ326739	2019-01-01	2019.001370
OQ326741	2019-01-01	2019.001370
NODE_0000427	2019-01-02	2019.003004
OR971627	2021-06-10	2021.439726
NODE_0000428	2021-07-27	2021.568809
