"","sample_id","redcap_repeat_instance","ngs_runid","duplicate_id","ngs_rundate","ngs_location","ngs_provider","ngs_submission","ngs_platform","primer_scheme","nanopore_platform","ngs_flowcell","illumina_platform","ngs_prep","ngs_barcode","ngs_library","ngs_analysis_type","ngs_merged_from","total_reads","mapped_reads","mean_depth","stdev_depth","median_depth","minimum_reads","maximum_reads","genomecov_depthx1","genomecov_depthx5","genomecov_depthx20","genomecov_depthx100","negative_control_sample","genbank_accession","consensus_coverage","consensus_fasta","ngs_notes","sample_labid","sample_sequenceid","sample_batchid","apha_sub","apha_rv","sample_tissuetype","sample_buffer","country","hmpcr_n405","rtassay","rtqpcr","lateral_flow_test","fat","drit","diagnostic_result","test_centre","diag_notes"
"11","4B-21-421","1","run4_21","1","22/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ72364",NA,"Amplicon","barcode10",NA,"Single run",NA,"32418","32418","1252.439826","590.5725342","1211","0","2908","11886","11886","11884","11675","No","NA","11791","4B-21-421__run4_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"12","4B-21-423","1","run4_21","1","22/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ72364",NA,"Amplicon","barcode11",NA,"Single run",NA,"52324","52324","1764.669963","1023.346189","1611","0","4758","11888","11885","11677","11659","No","NA","11588","4B-21-423__run4_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"13","4B-21-528","1","run4_21","1","22/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ72364",NA,"Amplicon","barcode12",NA,"Single run",NA,"33369","33369","1298.337077","643.8413943","1212","0","2932","11895","11886","11885","11513","No","NA","11801","4B-21-528__run4_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"14","4B-22-13","1","run4_22","1","15/11/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAU43236",NA,"Amplicon","barcode73",NA,"Single run",NA,"42850","42850","1620.969997","781.9086231","1554","0","3809","11895","11885","11677","11674","No","NA","11578","4B-22-13__run4_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"15","4B-22-15","1","run3_21","1","17/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ67614",NA,"Amplicon","barcode14",NA,"Single run",NA,"88177","88177","3570.690831","1708.531267","3467","0","8098","11895","11886","11886","11884","No","NA","11799","4B-22-15__run3_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"16","4B-22-16","1","run4_22","1","15/11/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAU43236",NA,"Amplicon","barcode74",NA,"Single run",NA,"26648","26648","1017.625796","505.1991345","946.5","0","2672","11899","11850","11676","11669","No","NA","11562","4B-22-16__run4_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"17","4B-22-17","1","run4_22","1","15/11/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAU43236",NA,"Amplicon","barcode75",NA,"Single run",NA,"21960","21960","955.9657224","429.9373452","901.5","0","2094","11890","11885","11810","11672","No","NA","11585","4B-22-17__run4_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"18","4B-22-20","1","run4_22","1","15/11/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAU43236",NA,"Amplicon","barcode76",NA,"Single run",NA,"33322","33322","1599.80942","685.766919","1571.5","0","3643","11887","11885","11677","11675","No","NA","11561","4B-22-20__run4_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"19","4B-22-21","1","run4_22","1","15/11/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAU43236",NA,"Amplicon","barcode77",NA,"Single run",NA,"24534","24534","1056.348978","460.411182","1028","0","2303","11895","11884","11678","11673","No","NA","11548","4B-22-21__run4_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"20","4B-22-28","1","run4_22","1","15/11/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAU43236",NA,"Amplicon","barcode78",NA,"Single run",NA,"56494","56494","2079.418622","1040.828883","1933","0","5278","11895","11885","11685","11673","No","NA","11598","4B-22-28__run4_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"21","4B-22-30","1","run4_22","1","15/11/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAU43236",NA,"Amplicon","barcode79",NA,"Single run",NA,"10620","10620","702.6354341","238.615899","697","0","1310","11886","11881","11676","11673","No","NA","11463","4B-22-30__run4_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"22","4B-22-31","1","run5_22","1","11/12/22","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAU03787",NA,"Amplicon","barcode66",NA,"Single run",NA,"44618","44618","1499.413761","964.4141396","1349","0","4205","11885","11859","11754","11355","No","NA","11583","4B-22-31__run5_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"23","4B-22-35","1","run5_22","1","11/12/22","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAU03787",NA,"Amplicon","barcode67",NA,"Single run",NA,"43499","43499","1513.779836","952.2034976","1354.5","0","4453","11689","11678","11677","11245","No","NA","11584","4B-22-35__run5_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"24","4B-22-37","1","run10_23","1","2/3/23","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAU43074",NA,"Amplicon","barcode14",NA,"Single run",NA,"42907","42907","1589.750251","788.4247775","1505","0","3466","11787","11676","11676","11676","No","PP858772","11592","4B-22-37__run10_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"25","4B-22-39","1","run10_23","1","2/3/23","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAU43074",NA,"Amplicon","barcode15",NA,"Single run",NA,"41968","41968","1449.961197","851.9478314","1259.5","0","3429","11712","11678","11676","11370","No","PP858770","11595","4B-22-39__run10_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"26","4B-22-40","1","run5_22","1","11/12/22","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAU03787",NA,"Amplicon","barcode68",NA,"Single run",NA,"39734","39734","1695.100067","803.4751974","1673","0","4073","11890","11885","11677","11676","No","NA","11572","4B-22-40__run5_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"27","4B-22-41","1","run5_22","1","11/12/22","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAU03787",NA,"Amplicon","barcode69",NA,"Single run",NA,"63086","63086","2082.013326","1327.846029","1920.5","0","5888","11686","11685","11482","11172","No","PP858764","11274","4B-22-41__run5_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"28","4B-22-42","1","run5_22","1","11/12/22","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAU03787",NA,"Amplicon","barcode70",NA,"Single run",NA,"80686","80686","2841.937395","1516.863432","2763","0","6819","11829","11710","11684","11676","No","PP858775","11603","4B-22-42__run5_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"29","4B-22-44","1","run10_23","1","2/3/23","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAU43074",NA,"Amplicon","barcode16",NA,"Single run",NA,"73209","73209","2364.5176","1418.94092","2217","0","6259","11865","11698","11677","11668","No","PP858754","11595","4B-22-44__run10_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"30","4B-22-45","1","run10_23","1","2/3/23","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAU43074",NA,"Amplicon","barcode17",NA,"Single run",NA,"60931","60931","1958.844703","1171.851007","1813","0","5036","11702","11684","11677","11496","No","PP858773","11591","4B-22-45__run10_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"31","4B-22-114","1","run3_21","1","17/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ67614",NA,"Amplicon","barcode26",NA,"Single run",NA,"73511","73511","3115.181864","1293.109941","2984","0","6372","11887","11886","11885","11873","No","NA","11792","4B-22-114__run3_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"32","4B-23-01","1","run12_23","1","8/3/23","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAT89919",NA,"Amplicon","barcode71",NA,"Single run",NA,"148701","148701","5251.437395","2650.492012","4972","0","13542","11898","11784","11678","11676","No","PP858753","11599","4B-23-01__run12_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"33","4B-23-02","1","run12_23","1","8/3/23","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAT89919",NA,"Amplicon","barcode72",NA,"Single run",NA,"56689","56689","2863.912085","1190.82322","2785","0","6053","11891","11777","11677","11676","No","PP858752","11597","4B-23-02__run12_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"34","4B-23-03","1","run12_23","1","8/3/23","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAT89919",NA,"Amplicon","barcode73",NA,"Single run",NA,"71238","71238","2897.844368","1434.011117","2809","0","6846","11893","11886","11884","11676","No","PP858771","11807","4B-23-03__run12_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"35","4B-23-04","1","run12_23","1","8/3/23","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAT89919",NA,"Amplicon","barcode74",NA,"Single run",NA,"115937","115937","4400.248408","2205.341577","4264","0","11035","11899","11887","11884","11676","No","PP858765","11804","4B-23-04__run12_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"36","4B-23-05","1","run12_23","1","8/3/23","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAT89919",NA,"Amplicon","barcode75",NA,"Single run",NA,"63730","63730","2266.908314","1252.288002","2183","0","5680","11893","11793","11699","11676","No","PP858750","11588","4B-23-05__run12_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
