sample_id,sample_labid,sample_sequenceid,sample_batchid,apha_sub,apha_rv,sample_tissuetype,sample_buffer,country,hmpcr_n405,rtassay,rtqpcr,lateral_flow_test,fat,drit,diagnostic_result,test_centre,diag_notes,redcap_data_access_group
SD305,RV3138,SUB3331,12-Aug,SUB3331,RV3138,Brain,,Tanzania,Pos1,,18.71,,,,Positive,APHA,,east_africa
SD307,RV3139,SUB3333,12-Aug,SUB3333,RV3139,Brain,,Tanzania,Pos1,,17.92,,,,Positive,APHA,,east_africa
SD309,RV3141,SUB3335,12-Aug,SUB3335,RV3141,Brain,,Tanzania,Pos2,,28.51,,,,Positive,APHA,,east_africa
SD311B,RV3143,SUB3338,12-Aug,SUB3338,RV3143,Brain,,Tanzania,Pos2,,27.51,,,,Positive,APHA,,east_africa
SD312,RV3144,SUB3339,12-Aug,SUB3339,RV3144,Brain,,Tanzania,Pos2,,29.35,,,,Positive,APHA,,east_africa
SD320,RV3148,SUB3347,12-Aug,SUB3347,RV3148,Brain,,Tanzania,,,29.02,,,,Positive,APHA,,east_africa
SD34RV290(2496),RV2496,RV2496,2009,SUB290,RV2496,Brain,,Tanzania,Pos1,,,,,,Positive,APHA,,east_africa
SD98B(x2??)RV301(2497),RV2497,RV2497,2009,SUB301,RV2497,Brain,,Tanzania,Pos1,,,,,,Positive,APHA,,east_africa
ULA/May/2010/003(SR012)1713,RV2814,RV2814,11-May,SUB1713,RV2814,Brain,,Tanzania,Pos2,,,,,,Positive,,,east_africa
SD641,SD641,SD641,field,,,Brain,,Tanzania,,,,,,,Positive,,,east_africa
SD665,SD665,SD665,field,,,Brain,,Tanzania,,,,,,,Positive,,,east_africa
SD681,SD681,300717(FRESH),field,,,Brain,,Tanzania,,,,,,,Positive,,,east_africa
SD683,SD683,090817(FRESH),field,,,Brain,,Tanzania,,,,Positive,,,Positive,,,east_africa
SD620,SUB7155,SD620,16-Nov,SUB7155,,Brain,,Tanzania,,SYBR,28.05,,,,Positive,,,east_africa
SD622,SUB7157,SD622,16-Nov,SUB7157,,Brain,,Tanzania,,,23.67,,,,Positive,,,east_africa
SD693,SD693,SD693,,,,Brain,,Tanzania,,,,Positive,,,Positive,,,east_africa
SD703,SD703,SD703,,,,Brain,,Tanzania,,,,Positive,,,Positive,,,east_africa
SD706,SD706,SD706,,,,Brain,,Tanzania,,,,Positive,,,Positive,,,east_africa
SD709,SD709,SD709,,,,Brain,,Tanzania,,,,Positive,,,Positive,,,east_africa
SD711,SD711,SD711,,,,Brain,,Tanzania,,,,Positive,,,Positive,,,east_africa
SD713,SD713,KIB,,,,Brain,,Tanzania,,,,Positive,,,Positive,,,east_africa
SD714,SD714,SER,,,,Brain,,Tanzania,,,,Positive,,,Positive,,,east_africa
Rab12/024,SUB6962,SUB6962,Nov16_tvla,SUB6962,,Brain,None,Tanzania,,,16.02,,Positive,,Positive,,,east_africa
Rab15/158,SUB7087,SUB7087,Nov16_tvla,SUB7087,,Brain,None,Tanzania,,,15.76,,Positive,,Positive,,,east_africa
AR02,Arusha(AR02),AR02,,,,Brain,No_buffer_fresh,Tanzania,,,,Positive,,,Positive,,,east_africa
AR03,Arusha(AR03),AR03,,,,Brain,No_buffer_fresh,Tanzania,,,,Positive,,,Positive,,,east_africa
HB002,Human brain (HB002),HB002,,,,Brain,No_buffer_fresh,Tanzania,,,,Positive,,,Negative,,,east_africa
HL003,Human lymph node (HL003),HL003,,,,4,No_buffer_fresh,Tanzania,,,,Positive,,,Negative,,,east_africa
HS001,Human saliva (HS001),HS001,,,,Saliva,No_buffer_fresh,Tanzania,,,,Positive,,,Negative,,,east_africa
Human brain(HB002),Human brain(HB002),HB002,,,,Brain,No_buffer_fresh,Tanzania,,,,Positive,,,Positive,,,east_africa
Human saliva(HS001),Human saliva(HS001),,,,,Salivary_gland,No_buffer_fresh,Tanzania,,,,Positive,,,Positive,,,east_africa
IFA1013,IFA1013,IFA1013,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
IFA1021,IFA1021,IFA1021,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
IFA1023,IFA1023,IFA1023,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
KD 1004,KD 1004,KD1004,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
KIL1022,KIL1022,KIL1022,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
LN001,Rungwa 10/03/2021(LN001),LN001,,,,Brain,No_buffer_fresh,Tanzania,,,,Positive,,,Positive,,,east_africa
LN002,Lindi Fox (2) 16/11/2021(LN002),LN002,,,,Brain,No_buffer_fresh,Tanzania,,,,Positive,,,Positive,,,east_africa
LN003,Lindi Fox (1) 05/11/2021(LN003),LN003,,,,Brain,No_buffer_fresh,Tanzania,,,,Positive,,,Positive,,,east_africa
LN004,Lindi 21/06/2018(LN004),LN004,,,,Brain,No_buffer_fresh,Tanzania,,,,Positive,,,Positive,,,east_africa
LN006,Lindi 20/07/2021(LN006),LN006,,,,Brain,No_buffer_fresh,Tanzania,,,,Positive,,,Positive,,,east_africa
LN007,Mtama 06/12/2021(LN007),LN007,,,,Brain,No_buffer_fresh,Tanzania,,,,Positive,,,Positive,,,east_africa
Lunascript - contaminted from Nelson Mandela,24,luna,,,,4,,Tanzania,,,,,,,,,,east_africa
MAL1008,MAL1008,MAL1008,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
MAL1009,MAL1009,MAL1009,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
MAL1020,MAL1020,MAL1020,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
MAS1016,MAS1016,MAS1016,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
MORDC1011,MORDC1011,MORDC1011,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
MR001,Ulanga- 31/03/2020(MR001),MR001,,,,Brain,No_buffer_fresh,Tanzania,,,,Positive,,,Positive,,,east_africa
MR002,Moro/Tungi - 11/03/2121(MR002),MR002,,,,Brain,No_buffer_fresh,Tanzania,,,,Positive,,,Positive,,,east_africa
MR003,Moro/Mvuha 07/05/2021(MR003),MR003,,,,Brain,No_buffer_fresh,Tanzania,,,,Positive,,,Positive,,,east_africa
MR004,Moro/Mvuha 07/05/2021(MR004),MR004,,,,Brain,No_buffer_fresh,Tanzania,,,,Positive,,,Positive,,,east_africa
MR005,Ulanga 13/02/2020(MR005),MR005,,,,Brain,No_buffer_fresh,Tanzania,,,,Positive,,,Positive,,,east_africa
MR006,Ulanga 08/05/2020(MR006),MR006,,,,Brain,No_buffer_fresh,Tanzania,,,,Positive,,,Positive,,,east_africa
MR007,Kilosa 04/05/2021(MR007),MR007,,,,Brain,No_buffer_fresh,Tanzania,,,,Positive,,,Positive,,,east_africa
MR008,Malinyi (MR008),MR008,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
MR009,Ulanga (MR009),MR009,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
MT001,Tandahimba 21/11/2020(MT001),MT001,,,,Brain,No_buffer_fresh,Tanzania,,,,Positive,,,Positive,,,east_africa
MT004,Brain Dark brown Tandahimba(MT004),MT004,,,,Brain,No_buffer_fresh,Tanzania,,,,Positive,,,Positive,,,east_africa
MT005,Brain Light brown Tandahimba(MT005),MT005,,,,Brain,No_buffer_fresh,Tanzania,,,,Positive,,,Positive,,,east_africa
MT006,Mtwara R (MT006),MT006,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
NAC 1014,NAC 1014,NAC1014,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
NAC 1015,NAC 1015,NAC1015,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
NAC 1017,NAC 1017,NAC1017,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
NAC 1018,NAC 1018,NAC1018,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
NAC 1025,NAC 1025,NAC1025,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
NC,NC,NC,,,,4,None,Tanzania,,,,Positive,,,Positive,,,east_africa
NCAA,NCAA,7,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
Neg control,Neg control,,,,,4,,Tanzania,,,,Negative,,,Negative,,,east_africa
NEGATIVE,NEGATIVE,NEGATIVE,,,,4,None,Tanzania,,,,Positive,,,,,,east_africa
Negative control,22,Negative control,,,,4,,Tanzania,,,,,,,,,,east_africa
RB001,Rungubure (RB001),RB001,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
RB002,Mbingu- dog (RB002),RB002,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
RB003,Mbingu-Bovine (RB003),RB003,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
RB004,Arusha (RB004),RB004,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD 782,SD 782,,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD 789,SD 789,,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD 790,SD 790(Failed on Medeka),,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD 791,SD 791,,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD 792,SD 792,SD792,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD 793,SD 793,SD793,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD712,23,SD712,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD716,21,SD716,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD734,20,SD734,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD735,11,SD735,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD736,17,SD736,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD737,19,SD737,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD738,18,SD738,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD751,SD751,SD751,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD753,SD753,2,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD754,SD754,4,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD755,SD755,3,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD756,SD756,5,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD759,16,SD759,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD760,15,SD760,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD761,14,SD761,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD763,12,SD763,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD764,13,SD764,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD766,SD766,1,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD767,SD767,8,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD785,SD785,6,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD789,10,SD789,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD799,9,SD799,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD800,8,SD800,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD801,7,SD801,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD802,6,SD802,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD804,1,SD804,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD806,2,SD806,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD807,3,SD807,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD809,4,SD809,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD810,5,SD810,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD812,SD812,SD812,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD813,SD813,SD813,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD815,SD815,SD815,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD816,SD816,SD816,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD817,SD817,SD817,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD818,SD818,SD818,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD821,SD821,SD821,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD823,SD823,SD823,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD825,SD825,SD825,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD826,SD826,SD826,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD827,SD827,SD827,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD828,SD828,SD828,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD830,SD830,SD830,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD831,SD831,SD831,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD832,SD832,SD832,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD834,SD834,SD834,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD835,SD835,SD835,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD837,SD837,SD837,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD846,SD846,SD846,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
TAN1019,TAN1019,TAN1019,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
Ulanga(MR009),Ulanga(MR009),MR009,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD740,SD740,SD740,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD741,SD741,SD741,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD743,SD743,SD743,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD744,SD744,SD744,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD745,SD745,SD745,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD746,SD746,SD746,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD747,SD747,SD747,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD749,SD749,SD749,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
SD750,SD750,SD750,,,,Brain,RNAshield,Tanzania,,,,Positive,,,Positive,,,east_africa
D07-299serial4virology29,RV2932,RV2932,2010,SUB783,RV2932,Brain,,Tanzania,Pos1,,pos,,,,Positive,,,east_africa
D07-326serial6virology31,RV2934,RV2934,2010,SUB785,RV2934,Brain,,Tanzania,Pos1,,pos,,,,Positive,CVL,,east_africa
D07-641serial9virology38,RV2937,RV2937,2010,SUB788,RV2937,Brain,,Tanzania,Pos1,,pos,,,,Positive,,,east_africa
D07/01serial10,RV2938,RV2938,2010,SUB789,RV2938,Brain,,Tanzania,Pos1,,pos,,,,Positive,APHA,,east_africa
D07/621serial12virology37,RV2940,RV2940,2010,SUB791,RV2940,Brain,,Tanzania,Pos1,,,,,,Positive,CVL,,east_africa
D08/301serial17virology43,RV2944,RV2944,2010,SUB796,RV2944,Brain,Glycerol-saline,Tanzania,Pos1,,pos,,,,Positive,APHA,,east_africa
D09/1045serial35Virology65,RV2957,RV2957,2010,SUB814,RV2957,Brain,,Tanzania,Pos1,,pos,,,,Positive,,,east_africa
D09/232serial19virology48,RV2945,RV2945,2010,SUB798,RV2945,Brain,,Tanzania,Pos1,,,,,,Positive,CVL,,east_africa
D09/333serial20virology49,RV2946,RV2946,2010,SUB799,RV2946,Brain,,Tanzania,Pos1,,pos,,,,Positive,,,east_africa
D09/484serial25Virology55,RV2948,RV2948,2010,SUB804,RV2948,Brain,,Tanzania,Pos1,,pos,,,,Positive,,,east_africa
D09/605serial26Virology56,RV2949,RV2949,2010,SUB805,RV2949,Brain,,Tanzania,Pos1,,pos,,,,Positive,,,east_africa
KIL/Sept/2010/004(SR017)1718,SUB1718,SUB1718,11-May,SUB1718,,Brain,,Tanzania,Neg,,32.22,,,,Inconclusive,,,east_africa
MUN/Apr/2010/0021727,SUB1727,SUB1727,11-May,SUB1727,,Brain,,Tanzania,Neg,,37.6,,,,Negative,,,east_africa
MUN/Mar/2011/00111728,SUB1728,SUB1728,11-May,SUB1728,,Brain,,Tanzania,Neg,,37.8,,,,Negative,,,east_africa
nyib0109(brainandtissuesampleinglycerolandfrozen)1637,SUB1637,SUB1637,11-May,SUB1637,,Brain,,Tanzania,Neg,,19.07,,,,Positive,APHA,,east_africa
Rab37/11(D11-374)1688,SUB1688,SUB1688,11-May,SUB1688,,Brain,,Tanzania,Neg,,37.8,,,,Negative,,,east_africa
Rab48/11(NCAA-1)1699,SUB1699,SUB1699,11-May,SUB1699,,Brain,,Tanzania,Neg,,33.96,,,,Inconclusive,APHA,,east_africa
Rab94(D10-1241)1645,SUB1645,SUB1645,11-May,SUB1645,,Brain,,Tanzania,Neg,,29.94,,,,Positive,,,east_africa
RV3265,RV3265,RV3265,,,,4,,Tanzania,,,,,,,,,,east_africa
SD110/08RV267(2488),RV2488,RV2488,2009,SUB267,RV2488,Brain,,Tanzania,Pos1,,,,,,Positive,APHA,,east_africa
SD118/08RV263(2486),RV2486,RV2486,2009,SUB263,RV2486,Brain,,Tanzania,Pos1,,,,,,Positive,APHA,,east_africa
SD119/08RV264(2487),RV2487,RV2487,2009,SUB264,RV2487,Brain,,Tanzania,Pos1,,,,,,Positive,APHA,,east_africa
SD144(Rab14/11)1665,SUB1665,SUB1665,11-May,SUB1665,,Brain,,Tanzania,Neg,,40,,,,Negative,,,east_africa
SD154(Rab24/11)1675,SUB1675,SUB1675,11-May,SUB1675,,Brain,,Tanzania,Neg,,31.6,,,,Positive,,,east_africa
SD156(Rab26/11)1677,SUB1677,SUB1677,11-May,SUB1677,,Brain,,Tanzania,Neg,,34.4,,,,Inconclusive,,,east_africa
SD157(Rab27/11)1678,SUB1678,SUB1678,11-May,SUB1678,,Brain,,Tanzania,Neg,,34.5,,,,Inconclusive,,,east_africa
SD240,RV3153,SUB3266,12-Aug,SUB3266,RV3153,Brain,,Tanzania,,,20.71,,,,Positive,APHA,,east_africa
SD252,SUB3278,SUB3278,12-Aug,SUB3278,,Brain,,Tanzania,,,,Negative,,,Negative,APHA,,east_africa
SD276,RV3154,SUB3300,12-Aug,SUB3300,RV3154,Brain,,Tanzania,,,16.4,,,,Positive,APHA,,east_africa
SD284,SUB3309,SUB3309,12-Aug,SUB3309,,Brain,,Tanzania,,,no ct,,,,Negative,APHA,,east_africa
SD286A,SUB3311,SUB3311,12-Aug,SUB3311,,Brain,,Tanzania,,,no ct,,,,Negative,APHA,,east_africa
SD323,RV3046,SUB4610,14-Oct,SUB4610,RV3046,Brain,,Tanzania,Pos2,,30.69,,,,Positive,APHA,,east_africa
SD325,RV3047,SUB4612,14-Oct,SUB4612,RV3047,Brain,,Tanzania,Pos1,,20.31,,,,Positive,APHA,,east_africa
SD326,RV3048,SUB4613,14-Oct,SUB4613,RV3048,Brain,,Tanzania,Pos1,,19.82,,,,Positive,APHA,,east_africa
SD327,RV3049,SUB4614,14-Oct,SUB4614,RV3049,Brain,,Tanzania,Pos1,,21.13,Positive,,,Positive,APHA,,east_africa
SD329,RV3050,SUB4616,14-Oct,SUB4616,RV3050,Brain,,Tanzania,Pos1,,17.98,,,,Positive,APHA,,east_africa
SD331,RV3051,SUB4618,14-Oct,SUB4618,RV3051,Brain,,Tanzania,Pos1,,19.98,,,,Positive,APHA,,east_africa
SD334,RV3052,SUB4620,14-Oct,SUB4620,RV3052,Brain,,Tanzania,Pos1,,15.76,,,,Positive,APHA,,east_africa
SD335,RV3053,SUB4621,14-Oct,SUB4621,RV3053,Brain,,Tanzania,Pos1,,20.48,,,,Positive,APHA,,east_africa
SD336,RV3054,SUB4622,14-Oct,SUB4622,RV3054,Brain,,Tanzania,Pos2,,37.19,,,,Positive,APHA,,east_africa
SD338A,RV3056,SUB4625,14-Oct,SUB4625,RV3056,Brain,,Tanzania,Pos2,,34.19,Positive,,,Positive,APHA,,east_africa
SD339,RV3057,SUB4627,14-Oct,SUB4627,RV3057,Brain,,Tanzania,Pos2,,27.2,,,,Positive,APHA,,east_africa
SD341,RV3058,SUB4629,14-Oct,SUB4629,RV3058,Brain,,Tanzania,Pos1,,21.92,,,,Positive,APHA,,east_africa
SD342,RV3059,SUB4630,14-Oct,SUB4630,RV3059,Brain,,Tanzania,Pos1,,25.78,,,,Positive,APHA,,east_africa
SD343,RV3060,SUB4631,14-Oct,SUB4631,RV3060,Brain,,Tanzania,Pos1,,26.46,,,,Positive,APHA,,east_africa
SD345,RV3061,SUB4633,14-Oct,SUB4633,RV3061,Brain,,Tanzania,Pos1,,24.47,,,,Positive,APHA,,east_africa
SD348,RV3063,SUB4636,14-Oct,SUB4636,RV3063,Brain,,Tanzania,Pos1,,19.38,,,,Positive,APHA,,east_africa
SD349,RV3064,SUB4637,14-Oct,SUB4637,RV3064,Brain,,Tanzania,Pos2,,29.18,,,,Positive,APHA,,east_africa
SD350,RV3065,SUB4638,14-Oct,SUB4638,RV3065,Brain,,Tanzania,Pos2,,28.55,,,,Positive,APHA,,east_africa
SD351,RV3066,SUB4639,14-Oct,SUB4639,RV3066,Brain,,Tanzania,Pos1,,19.29,Positive,,,Positive,APHA,,east_africa
SD352,RV3067,SUB4640,14-Oct,SUB4640,RV3067,Brain,,Tanzania,Pos2,,26.65,Positive,,,Positive,APHA,,east_africa
SD353,RV3068,SUB4641,14-Oct,SUB4641,RV3068,Brain,,Tanzania,Pos1,,25.18,,,,Positive,APHA,,east_africa
SD355,RV3070,SUB4643,14-Oct,SUB4643,RV3070,Brain,,Tanzania,Pos2,,27.27,,,,Positive,APHA,,east_africa
SD358,RV3071,SUB4646,14-Oct,SUB4646,RV3071,Brain,,Tanzania,Pos1,,21.85,,,,Positive,APHA,,east_africa
SD359,RV3072,SUB4647,14-Oct,SUB4647,RV3072,Brain,,Tanzania,Pos1,,21.89,,,,Positive,APHA,,east_africa
SD360,RV3073,SUB4648,14-Oct,SUB4648,RV3073,Brain,,Tanzania,Pos1,,25.6,,,,Positive,APHA,,east_africa
SD361,RV3074,SUB4649,14-Oct,SUB4649,RV3074,Brain,,Tanzania,Pos1,,17.86,,,,Positive,APHA,,east_africa
SD362,RV3075,SUB4650,14-Oct,SUB4650,RV3075,Brain,,Tanzania,Pos1,,17.86,,,,Positive,APHA,,east_africa
SD364,RV3076,SUB4651,14-Oct,SUB4651,RV3076,Brain,,Tanzania,Pos2,,32.41,Positive,,,Positive,APHA,,east_africa
SD366,RV3078,SUB4653,14-Oct,SUB4653,RV3078,Brain,,Tanzania,Pos1,,18.04,Positive,,,Positive,APHA,,east_africa
SD367,RV3079,SUB4654,14-Oct,SUB4654,RV3079,Brain,,Tanzania,Pos2,,30.7,,,,Positive,APHA,,east_africa
SD368,RV3080,SUB4655,14-Oct,SUB4655,RV3080,Brain,,Tanzania,Pos2,,29.56,Positive,,,Positive,APHA,,east_africa
SD370,RV3081,RV3081,14-Oct,SUB4657,RV3081,Brain,,Tanzania,Pos2,,27.56,,,,Positive,APHA,,east_africa
SD374,RV3082,SUB4661,14-Oct,SUB4661,RV3082,Brain,,Tanzania,Pos1,,18.68,Positive,,,Positive,APHA,,east_africa
SD378,RV3083,SUB4665,14-Oct,SUB4665,RV3083,Brain,,Tanzania,Pos2,,39.41,Positive,,,Positive,APHA,,east_africa
SD387,RV3088,SUB4674,14-Oct,SUB4674,RV3088,Brain,,Tanzania,Pos1,,24.62,,,,Positive,APHA,,east_africa
SD390,RV3174,RV3174,14-Dec,SUB5256,RV3174,Brain,,Tanzania,,,pos,Positive,,,Positive,APHA,,east_africa
SD399,RV3175,RV3175,14-Dec,SUB5258,RV3175,Brain,,Tanzania,,,pos,Positive,,,Positive,APHA,,east_africa
SD400,RV3176,RV3176,14-Dec,SUB5259,RV3176,Brain,,Tanzania,,,pos,Positive,,,Positive,APHA,,east_africa
SD401,RV3177,RV3177,14-Dec,SUB5260,RV3177,Brain,,Tanzania,,,pos,Positive,,,Positive,APHA,,east_africa
SD418,RV3179,RV3179,14-Dec,SUB5268,RV3179,Brain,,Tanzania,,,pos,Positive,,,Positive,APHA,,east_africa
SD426,RV3180,RV3180,14-Dec,SUB5270,RV3180,Brain,,Tanzania,,,pos,Positive,,,Positive,APHA,,east_africa
SD427,RV3181,RV3181,14-Dec,SUB5271,RV3181,Brain,,Tanzania,,,pos,Positive,,,Positive,APHA,,east_africa
SD428,RV3182,RV3182,14-Dec,SUB5272,RV3182,Brain,,Tanzania,,,pos,Positive,,,Positive,APHA,,east_africa
SD429,RV3183,RV3183,14-Dec,SUB5273,RV3183,Brain,,Tanzania,,,pos,Positive,,,Positive,APHA,,east_africa
SD433,RV3184,RV3184,14-Dec,SUB5274,RV3184,Brain,,Tanzania,,,pos,Positive,,,Positive,APHA,,east_africa
SD436,RV3185,RV3185,14-Dec,SUB5275,RV3185,Brain,,Tanzania,,,pos,Positive,,,Positive,APHA,,east_africa
SD438,RV3186,RV3186,14-Dec,SUB5276,RV3186,Brain,,Tanzania,,,pos,Positive,,,Positive,APHA,,east_africa
SD441,RV3187,RV3187,14-Dec,SUB5277,RV3187,Brain,,Tanzania,,,pos,Negative,,,Inconclusive,APHA,,east_africa
SD444,RV3188,RV3188,14-Dec,SUB5278,RV3188,4,,Tanzania,,,pos,,,,Positive,,,east_africa
SD445,RV3189,RV3189,14-Dec,SUB5279,RV3189,4,,Tanzania,,,pos,,,,Positive,,,east_africa
SD446,RV3190,RV3190,14-Dec,SUB5280,RV3190,4,,Tanzania,,,pos,,,,Positive,,,east_africa
SD450,RV3191,RV3191,14-Dec,SUB5281,RV3191,4,,Tanzania,,,pos,,,,Positive,,,east_africa
SD452,RV3192,RV3192,14-Dec,SUB5282,RV3192,4,,Tanzania,,,pos,,,,Positive,,,east_africa
SD457,RV3193,RV3193,14-Dec,SUB5283,RV3193,Brain,,Tanzania,,,pos,Positive,,,Positive,APHA,,east_africa
SD458,RV3194,RV3194,14-Dec,SUB5284,RV3194,Brain,,Tanzania,Pos1,,pos,,,,Positive,APHA,,east_africa
SD460,RV3195,RV3195,14-Dec,SUB5286,RV3195,Brain,,Tanzania,Pos1,,pos,Positive,,,Positive,APHA,,east_africa
