Sample_ID,Case_no,Accession,Host,Sample_type,Preferred_date,Date_source,Barangay,Municipality,Province,Region,Latitude,Longitude,Source,Author,Pubmed,Genome_coverage
R7-2021-0151,NA,OR971561,Canis lupus familiaris,brain,18-Oct-21,NA,NA,NA,Cebu,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999245726
R7-2021-0150,NA,OR971560,Canis lupus familiaris,brain,13-Oct-21,NA,NA,NA,Cebu,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999161918
R7-2021-0149,NA,OR971559,Canis lupus familiaris,brain,13-Oct-21,NA,NA,NA,Cebu,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767
R7-21-161,NA,NA,Canis familiaris,NA,18-Oct-21,NA,Pusok,Lapu-Lapu City,Cebu,Central Visayas,10.29788925,123.9784138,phd,NA,NA,NA
18-107,NA,OQ326749,Canis lupus familiaris,brain,1-Jan-18,NA,NA,NA,Davao de Oro (Compostela Valley),Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-179,NA,OQ326775,Canis lupus familiaris,brain,1-Jan-18,NA,NA,NA,Cotabato (North Cotabato),Region XII (Soccsksargen),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
R12-2021-176,NA,OR971656,Canis lupus familiaris,brain,2-Feb-21,NA,NA,NA,Cotabato (North Cotabato),Region XII (Soccsksargen),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999413342
R12-2021-063,NA,OR971653,Canis lupus familiaris,brain,11-Aug-21,NA,NA,NA,Cotabato (North Cotabato),Region XII (Soccsksargen),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999413342
R12-2019-0861,NA,OR971649,Canis lupus familiaris,brain,7-Nov-19,NA,NA,NA,Cotabato (North Cotabato),Region XII (Soccsksargen),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767
R11-21-61,NA,NA,Canis familiaris,NA,11-Aug-21,NA,,Midsayap,Cotabato,Bangsamoro,7.136249451,124.5166062,phd,NA,NA,NA
18-103,NA,OQ326754,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-116,NA,OQ326753,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-102,NA,OQ326752,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-106,NA,OQ326751,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
