Sample_ID,Case_no,Accession,Host,Sample_type,Preferred_date,Date_source,Barangay,Municipality,Province,Region,Latitude,Longitude,Source,Author,Pubmed,Genome_coverage
R11-2021-58,NA,OR971627,Felis catus,brain,10-Jun-21,NA,NA,NA,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767
R11-2021-02,NA,OR971626,Canis lupus familiaris,brain,1-Jun-21,NA,NA,NA,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999413342
R11-22-002,NA,NA,Canis familiaris,NA,5-Jan-22,NA,Talomo,Davao City,Davao del Sur,Region XI (Davao Region),7.254430625,125.4144871,phd,NA,NA,NA
18-164,NA,OQ326738,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Digos,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-118,NA,OQ326758,Canis lupus familiaris,brain,1-Jan-18,NA,Cogon,Digos,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
R6-2021-4568,NA,OR971544,Canis lupus familiaris,brain,12-Oct-21,NA,NA,NA,Guimaras,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767
R6-2019-2722,NA,OR971536,Canis lupus familiaris,brain,17-Jun-19,NA,NA,NA,Guimaras,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767
R6-2021-5932,NA,OR971556,Canis lupus familiaris,brain,12-Jul-21,NA,NA,NA,Guimaras,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999413342
R6-4568,NA,NA,Canis familiaris,NA,13-Oct-21,NA,Avila,Buenavista,Guimaras,Western Visayas,10.69136331,122.6621626,phd,NA,NA,NA
CAR-2021-022,NA,OR971332,Canis lupus familiaris,brain,11-Mar-21,NA,NA,NA,Ifugao,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534
R10-2019-909,NA,OR971612,Canis lupus familiaris,brain,4-Dec-19,NA,NA,Iligan,Lanao del Norte,Region X (Northern Mindanao),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999413342
R10-2019-908,NA,OR971611,Canis lupus familiaris,brain,4-Dec-19,NA,NA,Iligan,Lanao del Norte,Region X (Northern Mindanao),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999580959
R10-2019-818,NA,OR971605,Canis lupus familiaris,brain,8-Nov-19,NA,NA,Iligan,Lanao del Norte,Region X (Northern Mindanao),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999413342
R10-2019-777,NA,OR971603,Canis lupus familiaris,brain,21-Oct-19,NA,NA,Iligan,Lanao del Norte,Region X (Northern Mindanao),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999413342
R1-2019-212,NA,OR971385,Canis lupus familiaris,brain,6-Nov-19,NA,NA,NA,Ilocos Sur,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151
R6-2021-4447,NA,OR971542,Canis lupus familiaris,brain,6-Oct-21,NA,NA,NA,Iloilo,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767
R6-2021-4446,NA,OR971541,Canis lupus familiaris,brain,6-Oct-21,NA,NA,NA,Iloilo,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767
R6-2021-4431,NA,OR971540,Canis lupus familiaris,brain,5-Oct-21,NA,NA,NA,Iloilo,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767
R6-2019-3499,NA,OR971539,Canis lupus familiaris,brain,10-Oct-19,NA,NA,NA,Iloilo,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767
R6-2019-2184,NA,OR971535,Canis lupus familiaris,brain,11-Jun-19,NA,NA,NA,Iloilo,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767
R6-2021-5964,NA,OR971558,Canis lupus familiaris,brain,12-Sep-21,NA,NA,NA,Iloilo,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999413342
R6-2021-5961,NA,OR971557,Canis lupus familiaris,brain,12-Sep-21,NA,NA,NA,Iloilo,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999413342
R6-2021-4965,NA,OR971555,Canis lupus familiaris,brain,27-Oct-21,NA,NA,NA,Iloilo,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767
R6-2021-4798,NA,OR971554,Canis lupus familiaris,brain,29-Oct-21,NA,NA,NA,Iloilo,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767
R6-2021-4770,NA,OR971553,Canis lupus familiaris,brain,27-Oct-21,NA,NA,NA,Iloilo,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767
R6-2021-4769,NA,OR971552,Canis lupus familiaris,brain,26-Oct-21,NA,NA,NA,Iloilo,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767
R6-2021-4768,NA,OR971551,Canis lupus familiaris,brain,25-Oct-21,NA,NA,NA,Iloilo,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767
R6-2021-4767,NA,OR971550,Canis lupus familiaris,brain,25-Oct-21,NA,NA,NA,Iloilo,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767
R6-2021-4711,NA,OR971549,Canis lupus familiaris,brain,22-Oct-21,NA,NA,NA,Iloilo,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767
R6-2021-4703,NA,OR971548,Canis lupus familiaris,brain,19-Oct-21,NA,NA,NA,Iloilo,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767
R6-2021-4600,NA,OR971546,Canis lupus familiaris,brain,13-Oct-21,NA,NA,NA,Iloilo,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767
R6-2021-4599,NA,OR971545,Canis lupus familiaris,brain,12-Oct-21,NA,NA,NA,Iloilo,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767
R6-21-4375,NA,NA,Canis familiaris,NA,1-Oct-21,NA,Labigan,Sara,Iloilo,Western Visayas,11.29863894,122.9983924,phd,NA,NA,NA
R6-21-4600,NA,NA,Canis familiaris,NA,14-Oct-21,NA,Jibao-An,Pavia,Iloilo,Western Visayas,10.76834195,122.5361294,phd,NA,NA,NA
R6-4342,NA,NA,Bos taurus,NA,30-Sep-21,NA,Cabanban,Oton,Iloilo,Western Visayas,10.72535873,122.4673796,phd,NA,NA,NA
R2-2021-121,NA,OR971405,Canis lupus familiaris,brain,20-Dec-21,NA,NA,NA,Isabela,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999580959
R2-2021-106,NA,OR971404,Canis lupus familiaris,brain,11-May-21,NA,NA,NA,Isabela,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999245726
R2-2021-082,NA,OR971400,Canis lupus familiaris,brain,8-Sep-21,NA,NA,NA,Isabela,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999245726
R2-2019-8228,NA,OR971399,Canis lupus familiaris,brain,10-Oct-19,NA,NA,NA,Isabela,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534
R2-2019-8204,NA,OR971398,Canis lupus familiaris,brain,8-Oct-19,NA,NA,NA,Isabela,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534
R2-2019-8088,NA,OR971396,Canis lupus familiaris,brain,4-Oct-19,NA,NA,NA,Isabela,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534
CAR-2019-208,NA,OR971329,Canis lupus familiaris,brain,28-Oct-19,NA,NA,NA,Kalinga,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999161918
CAR-2019-103,NA,OR971327,Canis lupus familiaris,brain,23-Sep-19,NA,NA,NA,Kalinga,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999413342
CAR-2019-098,NA,OR971325,Canis lupus familiaris,brain,16-Sep-19,NA,NA,NA,Kalinga,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534
CAR-2019-085,NA,OR971323,Canis lupus familiaris,brain,26-Aug-19,NA,NA,NA,Kalinga,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999413342
R1-2022-034,NA,OR971390,Canis lupus familiaris,brain,4-Apr-22,NA,NA,NA,La Union,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999580959
R1-2021-165,NA,OR971388,Canis lupus familiaris,brain,11-Feb-21,NA,NA,NA,La Union,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151
R4A-2022-252,NA,OR971479,Canis lupus familiaris,brain,22-Feb-22,NA,NA,NA,Laguna,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999580959
R4A-2019-989,NA,OR971452,Canis lupus familiaris,brain,3-Oct-19,NA,NA,NA,Laguna,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999161918
R4A-2019-949,NA,OR971451,Canis lupus familiaris,brain,25-Sep-19,NA,NA,NA,Laguna,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999161918
Z-07-398,NA,NA,Canis familiaris,NA,19-Dec-07,NA,Paciano Rizal,Calamba City,Laguna,Calabarzon,14.18862277,121.1242055,phd,NA,NA,NA
Z-08-359,NA,NA,Canis familiaris,NA,25-Dec-08,NA,San Lucas II,San Pablo City,Laguna,Calabarzon,14.05146733,121.3315598,phd,NA,NA,NA
Z-12-034,NA,NA,Canis familiaris,NA,6-Feb-12,NA,Bgy. Santo Anghel,San Pablo City,Laguna,Calabarzon,14.05146733,121.3315598,phd,NA,NA,NA
Z-13-037,NA,NA,Canis familiaris,NA,25-Feb-13,NA,-,Cavinti,Laguna,Calabarzon,14.24291032,121.5551642,phd,NA,NA,NA
Z-13-081,NA,NA,Canis familiaris,NA,25-Apr-13,NA,Sto. Angel Norte,Santa Cruz,Laguna,Calabarzon,14.26443013,121.4040122,phd,NA,NA,NA
Z-13-161,NA,NA,Canis familiaris,NA,20-Jul-13,NA,Pansol,Calamba City,Laguna,Calabarzon,14.18862277,121.1242055,phd,NA,NA,NA
Z-13-204,NA,NA,Canis familiaris,NA,26-Sep-13,NA,Dayap,Calauan,Laguna,Calabarzon,14.13318557,121.2951683,phd,NA,NA,NA
Z-13-234,NA,NA,Canis familiaris,NA,15-Nov-13,NA,Mayapa,Calamba City,Laguna,Calabarzon,14.18862277,121.1242055,phd,NA,NA,NA
Z-14-023,NA,NA,Canis familiaris,NA,31-Jan-14,NA,Poblacion I,Santa Cruz,Laguna,Calabarzon,14.26443013,121.4040122,phd,NA,NA,NA
Z-14-142,NA,NA,Canis familiaris,NA,21-Jun-14,NA,Mercedes Homes 3,Binan,Laguna,Calabarzon,14.30526494,121.0647852,phd,NA,NA,NA
Z-14-243,NA,NA,Canis familiaris,NA,13-Nov-14,NA,Bubukal St.,Santa Cruz,Laguna,Calabarzon,14.26443013,121.4040122,phd,NA,NA,NA
Z-16-082,NA,NA,Canis familiaris,NA,24-May-16,NA,Caingin,Santa Rosa City,Laguna,Calabarzon,14.27260264,121.0895167,phd,NA,NA,NA
Z-16-211,NA,NA,Canis familiaris,NA,19-Dec-16,NA,Las Villas De Manila,Binan,Laguna,Calabarzon,14.30526494,121.0647852,phd,NA,NA,NA
Z-17-200,NA,NA,Canis familiaris,NA,31-Oct-17,NA,Mamatid,Cabuyao,Laguna,Calabarzon,14.24922952,121.121079,phd,NA,NA,NA
Z-18-251,NA,NA,Canis familiaris,NA,7-Dec-18,NA,"Rpa Enterprises, Don Jose",Santa Rosa City,Laguna,Calabarzon,14.27260264,121.0895167,phd,NA,NA,NA
Z-19-136,NA,NA,Canis familiaris,NA,5-Sep-19,NA,Canlubang,Calamba City,Laguna,Calabarzon,14.18862277,121.1242055,phd,NA,NA,NA
Z-20-110,NA,NA,Canis familiaris,NA,23-Oct-20,NA,"Pacita Complex 1, San Vicente",San Pedro,Laguna,Calabarzon,14.34936983,121.0384844,phd,NA,NA,NA
Z-23-01,NA,NA,Canis familiaris,NA,3-Jan-23,NA,Balibago,Santa Rosa City,Laguna,Calabarzon,14.27260264,121.0895167,phd,NA,NA,NA
Z-23-01Sa,NA,NA,Canis familiaris,NA,3-Jan-23,NA,Balibago,Santa Rosa City,Laguna,Calabarzon,14.27260264,121.0895167,phd,NA,NA,NA
Z-98-206,NA,NA,Canis familiaris,NA,2-Mar-98,NA,Bagongbayan,Santa Cruz,Laguna,Calabarzon,14.26443013,121.4040122,phd,NA,NA,NA
Z-98-285,NA,NA,Canis familiaris,NA,18-Mar-98,NA,-,San Pablo City,Laguna,Calabarzon,14.05146733,121.3315598,phd,NA,NA,NA
Z-98-335,NA,NA,Canis familiaris,NA,1-Apr-98,NA,-,Nagcarlan,Laguna,Calabarzon,14.14027602,121.4032743,phd,NA,NA,NA
Z-98-667,NA,NA,Canis familiaris,NA,29-Jun-98,NA,Mayapa,Calamba City,Laguna,Calabarzon,14.18862277,121.1242055,phd,NA,NA,NA
Z-98-712,NA,NA,Canis familiaris,NA,11-Jul-98,NA,Macantod,Siniloan,Laguna,Calabarzon,14.43714914,121.4867785,phd,NA,NA,NA
Z-98-780,NA,NA,Canis familiaris,NA,25-Jul-98,NA,San Miguel,Alaminos,Laguna,Calabarzon,14.04459696,121.2475488,phd,NA,NA,NA
Z-12-001,NA,NA,Dog,NA,20-Jan-12,NA,Sinalhan,Sta. Rosa City,Laguna,Calabarzon (IV-A),NA,NA,2018_workshop,NA,NA,NA
Z-14-149,NA,NA,Dog,NA,28-Jun-14,NA,San Rafael,San Pablo City,Laguna,Calabarzon (IV-A),NA,NA,2018_workshop,NA,NA,NA
Z-15-116,NA,NA,Dog,NA,17-Jun-15,NA,"Purok 6, Landayan",San Pedro,Laguna,Calabarzon (IV-A),NA,NA,2018_workshop,NA,NA,NA
Z-16-013,NA,NA,Dog,NA,16-Jan-16,NA,"PEA 2A, Langgam",San Pedro,Laguna,Calabarzon (IV-A),NA,NA,2018_workshop,NA,NA,NA
R8-2021-019,NA,OR971587,Canis lupus familiaris,brain,30-Mar-21,NA,NA,NA,Leyte,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534
RADDL4B-23-060,M-2,NA,Dog,NA,6-Oct-23,NA,Balogo,Boac,Marinduque,MIMIROPA,13.46850874,121.8289235,speedier,NA,NA,0.9716
RADDL4B-23-061,M-3,NA,Dog,NA,9-Oct-23,NA,Agumaymayan,Boac,Marinduque,MIMIROPA,13.44998665,121.8994821,speedier,NA,NA,0.9885
RADDL4B-23-070,M-10,NA,Dog,NA,23-Oct-23,NA,Pili,Boac,Marinduque,MIMIROPA,13.46393265,121.8260512,speedier,NA,NA,0.9885
RADDL4B-23-072,M-9,NA,Dog,NA,23-Oct-23,NA,Bocboc,Mogpog,Marinduque,MIMIROPA,13.47143036,121.9410823,speedier,NA,NA,0.9713
RADDL4B-23-057,M-1,NA,Pig,NA,24-Sep-23,NA,Apitong,Boac,Marinduque,MIMIROPA,13.45365494,121.8709323,speedier,NA,NA,0.9887
RADDL4B-24-019,M-47,NA,Pig,NA,8-Feb-24,NA,Daykitin,Buenavista,Marinduque,MIMIROPA,13.27382681,121.9228134,speedier,NA,NA,0.9885
RADDL4B-24-021,M-44,NA,Dog,NA,1-Feb-24,NA,Tabi,Boac,Marinduque,MIMIROPA,13.45428134,121.8406166,speedier,NA,NA,0.9721
RADDL4B-24-026,M-53,NA,Dog,NA,16-Feb-24,NA,Bangbangalon,Boac,Marinduque,MIMIROPA,13.43848981,121.8276107,speedier,NA,NA,0.972
RADDL4B-24-027,M-52,NA,Dog,NA,14-Feb-24,NA,Daykitin,Buenavista,Marinduque,MIMIROPA,13.27382681,121.9228134,speedier,NA,NA,0.9716
RADDL4B-24-029,M-50,NA,Dog,NA,20-Feb-24,NA,Caigangan,Buenavista,Marinduque,MIMIROPA,13.26212226,121.9342731,speedier,NA,NA,0.9716
RADDL4B-24-034,M-55,NA,Dog,NA,29-Feb-24,NA,Bamban,Boac,Marinduque,MIMIROPA,13.42366341,121.8779105,speedier,NA,NA,0.9713
RADDL4B-24-035,M-56,NA,Dog,NA,26-Feb-24,NA,Masiga,Gasan,Marinduque,MIMIROPA,13.35871898,121.8255082,speedier,NA,NA,0.9889
RADDL4B-24-037,M-58,NA,Dog,NA,28-Feb-24,NA,Buangan,Torrijos,Marinduque,MIMIROPA,13.31305087,122.0537056,speedier,NA,NA,0.9718
RADDL4B-24-053,M-65,NA,Dog,NA,17-Mar-24,NA,Barangay 1,Buenavista,Marinduque,MIMIROPA,13.2559971,121.9418071,speedier,NA,NA,0.9718
RADDL4B-24-055,M-67,NA,Dog,NA,21-Mar-24,NA,Barangay 2,Buenavista,Marinduque,MIMIROPA,13.25463205,121.9448458,speedier,NA,NA,0.9888
RADDL4B-24-056,M-68,NA,Dog,NA,26-Mar-24,NA,Barangay 1,Buenavista,Marinduque,MIMIROPA,13.2559971,121.9418071,speedier,NA,NA,0.9892
RADDL4B-24-057,M-69,NA,Dog,NA,20-Jan-24,NA,Barangay 1,Buenavista,Marinduque,MIMIROPA,13.2559971,121.9418071,speedier,NA,NA,0.9884
RADDL4B-24-058,M-70,NA,Dog,NA,20-Mar-24,NA,Mendez,Mogpog,Marinduque,MIMIROPA,13.5108188,121.8994064,speedier,NA,NA,0.9717
RADDL4B-24-059,M-71,NA,Dog,NA,20-Mar-24,NA,Villa Mendez,Mogpog,Marinduque,MIMIROPA,13.47788656,121.8607316,speedier,NA,NA,0.9888
RADDL4B-24-067,M-75,NA,Dog,NA,20-Feb-24,NA,Cabugao,Gasan,Marinduque,MIMIROPA,13.35486893,121.8479733,speedier,NA,NA,0.9892
RADDL4B-24-070,M-78,NA,Dog,NA,20-Apr-24,NA,Malibago,Buenavista,Marinduque,MIMIROPA,13.28798166,122.0068653,speedier,NA,NA,0.9883
RADDL4B-24-071,M-79,NA,Dog,NA,20-May-24,NA,Murallon,Boac,Marinduque,MIMIROPA,13.44947749,121.8370936,speedier,NA,NA,0.9722
RADDL4B-24-077,M-85,NA,Dog,NA,20-Nov-24,NA,Bicas-Bicas,Buenavista,Marinduque,MIMIROPA,13.24157594,122.0002222,speedier,NA,NA,0.9887
RADDL4B-24-082,M-89,NA,Dog,NA,18-Apr-24,NA,Mahunig,Gasan,Marinduque,MIMIROPA,13.31497743,121.8549846,speedier,NA,NA,0.9884
RADDL4B-24-102,M-100,NA,Dog,NA,28-Apr-24,NA,Bagacay,Buenavista,Marinduque,MIMIROPA,13.24881654,121.9900226,speedier,NA,NA,0.9886
RADDL4B-23-085,M-13,NA,Dog,NA,20-Aug-23,NA,Maligaya,Boac,Marinduque,MIMIROPA,13.47444205,121.840682,speedier,NA,NA,0.9891
RADDL4B-23-093,M-20,NA,Goat,NA,26-Nov-23,NA,Lupac,Boac,Marinduque,MIMIROPA,13.45972903,121.8180698,speedier,NA,NA,0.9888
RADDL4B-23-095,M-22,NA,Dog,NA,28-Nov-23,NA,Laon,Mogpog,Marinduque,MIMIROPA,13.4919948,121.8532421,speedier,NA,NA,0.9888
RADDL4B-23-097,M-23,NA,Dog,NA,27-Nov-23,NA,Poctoy,Boac,Marinduque,MIMIROPA,13.43235691,121.8690073,speedier,NA,NA,0.9889
RADDL4B-23-098,M-24,NA,Dog,NA,27-Nov-23,NA,Cawit,Boac,Marinduque,MIMIROPA,13.38170012,121.8415498,speedier,NA,NA,0.9887
RADDL4B-23-099,M-25,NA,Dog,NA,30-Nov-23,NA,Bunganay,Boac,Marinduque,MIMIROPA,13.38814351,121.830912,speedier,NA,NA,0.9889
RADDL4B-23-100,M-26,NA,Pig,NA,5-Dec-23,NA,Tabigue,Boac,Marinduque,MIMIROPA,13.4508379,121.820882,speedier,NA,NA,0.9889
RADDL4B-24-001,M-29,NA,Dog,NA,5-Jan-24,NA,Dampulan,Torrijos,Marinduque,MIMIROPA,13.23584673,122.0313094,speedier,NA,NA,0.9891
RADDL4B-24-011,M-38,NA,Dog,NA,24-Jan-24,NA,Laylay,Boac,Marinduque,MIMIROPA,13.43668126,121.8203817,speedier,NA,NA,0.9889
RADDL4B-24-012,M-40,NA,Dog,NA,25-Jan-24,NA,Poblacion,Torrijos,Marinduque,MIMIROPA,13.32381038,122.0762274,speedier,NA,NA,0.9713
RADDL4B-24-015,M-41,NA,Dog,NA,31-Jan-24,NA,Tampus,Boac,Marinduque,MIMIROPA,13.44607203,121.8483871,speedier,NA,NA,0.95
RADDL4B-24-016,M-42,NA,Dog,NA,31-Jan-24,NA,San Isidro,Santa Cruz,Marinduque,MIMIROPA,13.52187638,121.937044,speedier,NA,NA,0.9679
RADDL4B-24-049,M-63,NA,Dog,NA,13-Mar-24,NA,Barangay IV,Buenavista,Marinduque,MIMIROPA,13.25222414,121.9482043,speedier,NA,NA,0.9885
RADDL4B-24-084,M-91,NA,Dog,NA,19-Apr-24,NA,Matandang Gasan,Gasan,Marinduque,MIMIROPA,13.32695219,121.8773683,speedier,NA,NA,0.9888
RADDL4B-24-085,M-92,NA,Dog,NA,20-Apr-24,NA,Malibago,Torrijos,Marinduque,MIMIROPA,13.28714633,122.0077236,speedier,NA,NA,0.9883
RADDL4B-24-086,M-93,NA,Dog,NA,20-Apr-24,NA,Pulong-Parang,Santa Cruz,Marinduque,MIMIROPA,13.41549537,122.0584289,speedier,NA,NA,0.9345
RADDL4B-24-087,M-94,NA,Dog,NA,21-Apr-24,NA,Marlangga,Torrijos,Marinduque,MIMIROPA,13.33186615,122.0865576,speedier,NA,NA,0.9712
RADDL4B-24-088,M-95,NA,Dog,NA,22-Apr-24,NA,Mangiliol,Gasan,Marinduque,MIMIROPA,13.35766762,121.8384787,speedier,NA,NA,0.9155
RADDL4B-24-101,M-99,NA,Dog,NA,25-Apr-24,NA,Poras,Boac,Marinduque,MIMIROPA,13.45804967,121.8323598,speedier,NA,NA,0.9888
RADDL4B-24-106,M-104,NA,Dog,NA,20-Mar-24,NA,Daykitin,Buenavista,Marinduque,MIMIROPA,13.27382681,121.9228134,speedier,NA,NA,0.9885
RADDL4B-24-120,M-106,NA,Dog,NA,20-Sep-24,NA,Mainit,Boac,Marinduque,MIMIROPA,13.40855837,121.8831096,speedier,NA,NA,0.9886
RADDL4B-24-124,M-110,NA,Dog,NA,13-May-24,NA,Yook,Buenavista,Marinduque,MIMIROPA,13.22428692,121.9851771,speedier,NA,NA,0.9889
RADDL4B-23-101,M-27,NA,Dog,NA,5-Dec-23,NA,Hinapulan,Boac,Marinduque,MIMIROPA,13.40056028,121.9413747,speedier,NA,NA,0.9886
RADDL4B-24-002,M-30,NA,Dog,NA,9-Jan-24,NA,Malusak,Boac,Marinduque,MIMIROPA,13.44708203,121.8412843,speedier,NA,NA,0.9883
RADDL4B-24-003,M-31,NA,Dog,NA,9-Jan-24,NA,Masiga,Gasan,Marinduque,MIMIROPA,13.35871898,121.8255082,speedier,NA,NA,0.9884
RADDL4B-24-017,M-39,NA,Dog,NA,25-Jan-24,NA,Masiga,Gasan,Marinduque,MIMIROPA,13.35871898,121.8255082,speedier,NA,NA,0.9883
RADDL4B-24-028,M-51,NA,Dog,NA,14-Feb-24,NA,Masiga,Gasan,Marinduque,MIMIROPA,13.35871898,121.8255082,speedier,NA,NA,0.9884
RADDL4B-24-038,M-59,NA,Dog,NA,5-Mar-24,NA,Barangay I,Buenavista,Marinduque,MIMIROPA,13.2559971,121.9418071,speedier,NA,NA,0.988
RADDL4B-24-054,M-66,NA,Dog,NA,20-Mar-24,NA,Caigangan,Buenavista,Marinduque,MIMIROPA,13.26212226,121.9342731,speedier,NA,NA,0.9884
RADDL4B-24-069,M-77,NA,Dog,NA,20-Mar-24,NA,Barangay I,Buenavista,Marinduque,MIMIROPA,13.2559971,121.9418071,speedier,NA,NA,0.9885
RADDL4B-24-073,M-81,NA,Dog,NA,20-Jul-24,NA,Bangbangalon,Boac,Marinduque,MIMIROPA,13.43848981,121.8276107,speedier,NA,NA,0.9886
RADDL4B-24-074,M-82,NA,Dog,NA,20-Nov-24,NA,Caigangan,Buenavista,Marinduque,MIMIROPA,13.26212226,121.9342731,speedier,NA,NA,0.9889
RADDL4B-24-076,M-84,NA,Dog,NA,20-Jul-24,NA,Barangay I,Buenavista,Marinduque,MIMIROPA,13.2559971,121.9418071,speedier,NA,NA,0.9884
RADDL4B-24-078,M-86,NA,Dog,NA,20-Dec-24,NA,Barangay II,Buenavista,Marinduque,MIMIROPA,13.25463205,121.9448458,speedier,NA,NA,0.9884
RADDL4B-24-081,M-88,NA,Dog,NA,15-Apr-24,NA,Buangan,Torrijos,Marinduque,MIMIROPA,13.31305087,122.0537056,speedier,NA,NA,0.9882
RADDL4B-24-018,M-43,NA,Dog,NA,1-Feb-24,NA,Barangay IV,Buenavista,Marinduque,MIMIROPA,13.25222414,121.9482043,speedier,NA,NA,0.9708
