"sample_id","sample_labid","sample_sequenceid","sample_batchid","apha_sub","apha_rv","sample_tissuetype","sample_buffer","country","hmpcr_n405","rtassay","rtqpcr","lateral_flow_test","fat","drit","diagnostic_result","test_centre","diag_notes","redcap_data_access_group"
"RADDL4B-24-005","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-007","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-009","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-010","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-011","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-012","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-013","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-014","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-015","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-016","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-017","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-018","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-019","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-021","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-023","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-026","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-027","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-028","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-029","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-030","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-034","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-035","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-037","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-038","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-042","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-043","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-046","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-048","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-049","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-051","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-052","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-053","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-054","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-055","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-056","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-057","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-058","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-059","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-062","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-063","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-066","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-067","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-069","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-070","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-071","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-073","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-074","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-076","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-077","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-078","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-080","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-081","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-082","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-083","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-084","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-085","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-086","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-087","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-088","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-093","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-095","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-096","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-097","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-098","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-099","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-100","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-101","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-102","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-105","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-106","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-107","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-108","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-112","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-113","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-114","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-116","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-117","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-120","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-121","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-122","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-124","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-125","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-127","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-129","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-130","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-132","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-138","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-147","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-148","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-150","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-151","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-153","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-154","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-155","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-156","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-157","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-161","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-162","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-173","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-174","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-178","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-180","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-181","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-182","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-183","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-184","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-185","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-186","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-187","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-24-188","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-25-005","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-25-006","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-25-008","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-25-009","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-25-017","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"Z-24-141","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"Z-24-142","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"Z-25-021","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
